Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
BRCA_TCGA-AN-A0XW	4	7	1	5	0	4	2	0	0	0	0	397	0	0	3
BRCA_TCGA-AO-A03M	15	4	0	54	16	0	0	0	0	6	0	1045	10	0	0
BRCA_TCGA-AO-A03N	4	8	3	9	8	7	5	5	0	0	4	75	1	5	0
BRCA_TCGA-AO-A03U	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0
BRCA_TCGA-AO-A03V	1	2	1	5	10	4	0	5	1	0	12	17	1	11	2
BRCA_TCGA-AO-A0JG	3	0	0	0	0	1	2	0	2	1	2	1	7	0	2
BRCA_TCGA-AO-A124	6	6	4	6	5	11	0	0	0	15	15	8	57	39	6
BRCA_TCGA-AO-A125	1	9	0	4	0	4	4	0	1	1	5	3	13	0	0
BRCA_TCGA-AO-A126	0	1	0	2	9	0	0	0	0	3	0	3	3	4	0
BRCA_TCGA-AO-A128	0	207	112	21	139	103	83	0	136	360	0	28	0	0	21
BRCA_TCGA-AO-A129	1	2	2	1	21	3	6	0	4	11	3	33	36	14	7
BRCA_TCGA-AO-A12A	0	6	2	0	0	0	0	1	0	1	1	5	3	0	0
BRCA_TCGA-AO-A12B	0	6	0	0	2	0	1	4	0	1	0	0	9	0	0
BRCA_TCGA-AO-A12D	0	4	0	10	5	0	0	4	0	0	15	28	1	6	0
BRCA_TCGA-AO-A12E	0	6	4	2	3	0	0	0	0	2	3	2	10	1	0
BRCA_TCGA-AO-A12F	2	9	9	2	0	1	1	7	0	0	0	0	8	1	0
BRCA_TCGA-AO-A12G	0	4	0	0	14	3	0	0	5	0	2	7	5	2	0
BRCA_TCGA-AO-A12H	0	3	0	2	9	3	0	0	1	2	2	0	7	1	0
BRCA_TCGA-AO-A1KO	0	0	0	1	0	1	0	0	1	1	0	0	6	0	0
BRCA_TCGA-AO-A1KR	1	8	0	3	1	9	0	0	3	9	3	13	23	16	0
BRCA_TCGA-AO-A1KT	0	9	1	3	1	2	1	1	9	3	0	3	14	4	0
BRCA_TCGA-AQ-A04H	2	17	7	4	20	2	0	0	5	0	2	5	7	8	2
BRCA_TCGA-AQ-A0Y5	0	12	4	6	6	0	1	0	2	3	0	18	14	3	1
BRCA_TCGA-AQ-A1H2	0	5	2	3	5	2	0	0	0	3	0	1	8	3	2
BRCA_TCGA-AQ-A1H3	0	13	0	0	6	0	0	0	1	0	1	0	4	0	2
BRCA_TCGA-AQ-A54O	1	5	0	0	0	4	0	0	0	2	1	4	2	4	2
BRCA_TCGA-AQ-A7U7	0	0	6	8	7	4	0	2	0	4	1	56	0	6	2
BRCA_TCGA-AR-A0TP	0	0	0	1	9	6	1	0	3	8	2	7	23	9	2
BRCA_TCGA-AR-A0TQ	1	6	1	2	1	5	0	2	0	0	7	14	5	5	0
