Samples	SBS96A	SBS96B	SBS96C
ATP2B4_1_multinomial_train1.1	1.63E-01	4.96E-02	1.37E-01
ATP2B4_1_multinomial_train1.2	1.44E-01	4.89E-02	1.24E-01
ATP2B4_1_multinomial_train1.3	1.54E-01	5.20E-02	1.26E-01
ATP2B4_0_multinomial_train1.2	1.22E-01	4.56E-02	1.07E-01
ATP2B4_1_multinomial_train1.4	1.47E-01	5.17E-02	1.27E-01
ATP2B4_0_multinomial_train1.3	1.24E-01	4.89E-02	1.08E-01
ATP2B4_0_multinomial_train1.4	1.37E-01	4.94E-02	1.15E-01
ATP2B4_0_multinomial_train1.5	1.38E-01	4.86E-02	1.16E-01
ATP2B4_0_multinomial_train1.6	1.24E-01	4.86E-02	1.09E-01
ATP2B4_1_multinomial_train1.5	1.33E-01	4.75E-02	1.16E-01
ATP2B4_0_multinomial_train1.7	1.23E-01	4.68E-02	1.05E-01
ATP2B4_1_multinomial_train1.6	1.36E-01	4.80E-02	1.19E-01
ATP2B4_1_multinomial_train1.7	1.45E-01	5.11E-02	1.24E-01
ATP2B4_1_multinomial_train1.8	1.56E-01	5.04E-02	1.27E-01
ATP2B4_1_multinomial_train1.9	1.35E-01	4.71E-02	1.15E-01
ATP2B4_1_multinomial_train1.10	1.30E-01	4.69E-02	1.10E-01
ATP2B4_1_multinomial_train1.11	1.69E-01	5.24E-02	1.38E-01
ATP2B4_1_multinomial_train1.12	1.73E-01	5.40E-02	1.42E-01
ATP2B4_1_multinomial_train1.13	1.63E-01	4.99E-02	1.37E-01
ATP2B4_0_multinomial_train1.8	1.25E-01	4.97E-02	1.09E-01
ATP2B4_1_multinomial_train1.14	1.29E-01	4.83E-02	1.11E-01
ATP2B4_1_multinomial_train1.15	1.51E-01	5.13E-02	1.29E-01
ATP2B4_0_multinomial_train1.9	1.21E-01	4.68E-02	1.03E-01
ATP2B4_0_multinomial_train1.10	1.34E-01	4.91E-02	1.15E-01
ATP2B4_0_multinomial_train1.11	1.31E-01	4.89E-02	1.11E-01
ATP2B4_1_multinomial_train1.16	1.39E-01	5.08E-02	1.20E-01
ATP2B4_0_multinomial_train1.12	1.16E-01	4.70E-02	1.02E-01
ATP2B4_0_multinomial_train1.13	1.14E-01	4.60E-02	9.89E-02
ATP2B4_0_multinomial_train1.14	1.44E-01	4.97E-02	1.20E-01
ATP2B4_0_multinomial_train1.15	1.34E-01	5.04E-02	1.17E-01
ATP2B4_1_multinomial_train1.17	1.70E-01	5.17E-02	1.39E-01
ATP2B4_1_multinomial_train1.18	1.35E-01	4.78E-02	1.17E-01
ATP2B4_1_multinomial_train1.19	1.24E-01	4.69E-02	1.08E-01
ATP2B4_1_multinomial_train1.20	1.52E-01	4.94E-02	1.26E-01
ATP2B4_0_multinomial_train1.16	1.12E-01	4.59E-02	1.00E-01
ATP2B4_1_multinomial_train1.21	1.54E-01	4.99E-02	1.28E-01
ATP2B4_1_multinomial_train1.22	1.44E-01	5.04E-02	1.24E-01
ATP2B4_0_multinomial_train1.17	1.39E-01	4.92E-02	1.16E-01
ATP2B4_0_multinomial_train1.18	1.14E-01	4.44E-02	9.82E-02
ATP2B4_1_multinomial_train1.23	1.29E-01	4.83E-02	1.12E-01
ATP2B4_1_multinomial_train1.24	1.54E-01	5.08E-02	1.29E-01
ATP2B4_0_multinomial_train1.19	1.30E-01	4.81E-02	1.12E-01
ATP2B4_1_multinomial_train1.25	1.53E-01	5.02E-02	1.25E-01
ATP2B4_0_multinomial_train1.20	1.40E-01	4.91E-02	1.19E-01
ATP2B4_0_multinomial_train1.21	1.14E-01	4.79E-02	1.01E-01
ATP2B4_0_multinomial_train1.22	1.07E-01	4.76E-02	9.75E-02
ATP2B4_0_multinomial_train1.23	1.20E-01	4.70E-02	1.06E-01
ATP2B4_0_multinomial_train1.24	1.26E-01	4.78E-02	1.09E-01
ATP2B4_1_multinomial_train1.26	1.64E-01	5.21E-02	1.34E-01
ATP2B4_0_multinomial_train1.25	1.36E-01	4.92E-02	1.17E-01
ATP2B4_1_multinomial_train1.27	1.41E-01	4.81E-02	1.21E-01
ATP2B4_0_multinomial_train1.26	1.17E-01	4.63E-02	1.02E-01
ATP2B4_1_multinomial_train1.28	1.75E-01	5.26E-02	1.43E-01
ATP2B4_0_multinomial_train1.27	1.18E-01	4.75E-02	1.03E-01
ATP2B4_1_multinomial_train1.29	1.54E-01	4.96E-02	1.26E-01
ATP2B4_0_multinomial_train1.28	1.16E-01	4.63E-02	1.02E-01
ATP2B4_0_multinomial_train1.29	1.23E-01	4.73E-02	1.07E-01
ATP2B4_0_multinomial_train1.30	1.14E-01	4.61E-02	9.97E-02
ATP2B4_0_multinomial_train1.31	1.13E-01	4.68E-02	9.67E-02
ATP2B4_1_multinomial_train1.30	1.47E-01	5.04E-02	1.23E-01
ATP2B4_1_multinomial_train1.31	1.70E-01	5.20E-02	1.42E-01
ATP2B4_1_multinomial_train1.32	1.53E-01	4.84E-02	1.28E-01
ATP2B4_0_multinomial_train1.32	1.16E-01	4.63E-02	1.03E-01
ATP2B4_0_multinomial_train1.33	1.47E-01	5.06E-02	1.24E-01
ATP2B4_0_multinomial_train1.34	1.29E-01	4.86E-02	1.12E-01
ATP2B4_0_multinomial_train1.35	1.14E-01	4.64E-02	9.90E-02
ATP2B4_1_multinomial_train1.33	1.55E-01	5.10E-02	1.30E-01
ATP2B4_1_multinomial_train1.34	1.31E-01	4.77E-02	1.12E-01
ATP2B4_1_multinomial_train1.35	1.39E-01	4.76E-02	1.16E-01
ATP2B4_1_multinomial_train1.36	1.59E-01	4.93E-02	1.31E-01
ATP2B4_0_multinomial_train1.36	1.08E-01	4.59E-02	9.73E-02
ATP2B4_0_multinomial_train1.37	1.13E-01	4.58E-02	9.85E-02
ATP2B4_1_multinomial_train1.37	1.43E-01	5.18E-02	1.24E-01
ATP2B4_1_multinomial_train1.38	1.61E-01	5.17E-02	1.29E-01
ATP2B4_1_multinomial_train1.39	1.43E-01	4.84E-02	1.19E-01
ATP2B4_1_multinomial_train1.40	1.36E-01	4.62E-02	1.17E-01
ATP2B4_1_multinomial_train1.41	1.43E-01	4.94E-02	1.21E-01
ATP2B4_1_multinomial_train1.42	1.32E-01	4.61E-02	1.13E-01
ATP2B4_0_multinomial_train1.38	1.35E-01	4.89E-02	1.11E-01
ATP2B4_0_multinomial_train1.39	1.18E-01	4.59E-02	1.03E-01
ATP2B4_0_multinomial_train1.40	1.31E-01	4.79E-02	1.13E-01
ATP2B4_1_multinomial_train1.43	1.43E-01	5.08E-02	1.22E-01
ATP2B4_0_multinomial_train1.41	1.27E-01	4.86E-02	1.10E-01
ATP2B4_0_multinomial_train1.42	1.14E-01	4.68E-02	1.02E-01
ATP2B4_0_multinomial_train1.43	1.28E-01	4.75E-02	1.11E-01
ATP2B4_0_multinomial_train1.44	1.08E-01	4.47E-02	9.42E-02
ATP2B4_1_multinomial_train1.44	1.51E-01	4.69E-02	1.28E-01
ATP2B4_0_multinomial_train1.45	1.12E-01	4.38E-02	9.80E-02
ATP2B4_1_multinomial_train1.45	1.28E-01	4.67E-02	1.11E-01
ATP2B4_0_multinomial_train1.46	1.45E-01	5.12E-02	1.21E-01
ATP2B4_0_multinomial_train1.47	1.21E-01	4.61E-02	1.03E-01
ATP2B4_0_multinomial_train1.48	1.32E-01	4.95E-02	1.13E-01
ATP2B4_1_multinomial_train1.46	1.57E-01	5.34E-02	1.29E-01
ATP2B4_1_multinomial_train1.47	1.64E-01	5.23E-02	1.34E-01
ATP2B4_1_multinomial_train1.48	1.29E-01	4.83E-02	1.11E-01
PMS1_0_multinomial_train1	7.83E-02	4.00E-02	6.07E-02
MSH6_1_multinomial_train1	3.72E-03	1.06E-02	3.69E-21
MSH6_0_multinomial_train1	2.86E-03	1.05E-02	3.64E-18
MSH2_0_multinomial_train1	4.86E-03	1.19E-02	1.49E-21
MSH6_0_multinomial_train1.1	7.75E-64	1.03E-02	1.08E-03
MLH1_0_multinomial_train1	0.00E+00	1.14E-02	0.00E+00
MSH6_1_multinomial_train1.1	1.96E-03	1.00E-02	2.28E-03
MLH1_0_multinomial_train1.1	0.00E+00	1.06E-02	4.39E-04
PMS1_0_multinomial_train1.1	8.61E-02	4.69E-02	6.11E-02
PMS1_0_multinomial_train1.2	8.09E-02	3.89E-02	6.02E-02
MSH6_1_multinomial_train1.2	1.70E-157	9.91E-03	6.63E-04
MSH6_1_multinomial_train1.3	0.00E+00	9.89E-03	0.00E+00
PMS1_0_multinomial_train1.3	8.95E-02	3.85E-02	6.33E-02
PMS1_0_multinomial_train1.4	9.69E-02	4.47E-02	6.97E-02
PMS2_0_multinomial_train1	3.13E-02	3.07E-02	2.80E-146
MSH6_1_multinomial_train1.4	1.47E-03	9.95E-03	2.02E-03
MSH6_0_multinomial_train1.2	1.73E-03	1.06E-02	5.74E-04
