Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P
BRCA_TCGA-A2-A3XZ	0	1	6	6	4	3	0	0	0	2	2	0	4	21	3	0
BRCA_TCGA-A2-A3Y0	4	12	4	4	9	7	0	1	20	15	27	10	0	53	72	5
BRCA_TCGA-A2-A4S1	7	5	5	1	24	0	0	2	2	2	4	0	0	7	37	2
BRCA_TCGA-A2-A4S2	0	3	4	0	0	3	0	0	4	2	4	0	1	6	15	1
BRCA_TCGA-A2-A4S3	5	5	12	3	0	7	3	0	8	6	7	6	8	15	22	0
BRCA_TCGA-A7-A0CE	1	4	2	1	4	3	0	0	3	4	1	9	11	4	14	0
BRCA_TCGA-A7-A0CH	0	0	0	1	3	0	0	0	0	3	5	0	2	0	3	0
BRCA_TCGA-A7-A0D9	0	1	1	0	0	0	0	0	0	0	1	1	5	2	0	1
BRCA_TCGA-A7-A0DA	2	3	0	6	22	7	2	0	0	9	13	11	1	20	83	8
BRCA_TCGA-A7-A0DB	1	2	7	2	0	1	3	0	3	1	0	0	6	15	9	3
BRCA_TCGA-A7-A13D	0	3	7	3	16	7	5	0	0	7	12	8	8	18	46	0
BRCA_TCGA-A7-A13E	0	7	28	2	0	6	1	4	0	5	0	0	7	4	16	0
BRCA_TCGA-A7-A13F	2	3	7	5	11	3	0	0	0	3	4	0	2	3	2	0
BRCA_TCGA-A7-A13G	1	5	2	0	3	2	0	0	0	2	3	0	1	10	2	1
BRCA_TCGA-A7-A26E	0	1	11	8	1	2	0	1	1	3	0	1	12	14	10	2
BRCA_TCGA-A7-A26F	3	0	11	4	0	4	0	1	0	0	3	0	3	3	14	0
BRCA_TCGA-A7-A26G	2	4	1	2	2	4	2	3	2	1	6	0	1	17	21	0
BRCA_TCGA-A7-A26H	4	0	18	6	17	0	0	0	0	3	3	1	21	67	10	0
BRCA_TCGA-A7-A26I	1	1	3	2	0	1	0	0	2	4	7	0	6	6	13	0
BRCA_TCGA-A7-A26J	3	0	6	0	0	1	0	0	1	0	0	3	10	1	17	0
BRCA_TCGA-A7-A2KD	1	4	5	3	15	0	0	0	0	2	9	0	5	7	3	1
BRCA_TCGA-A7-A3RF	0	1	6	0	0	2	1	0	4	2	3	3	0	3	15	0
BRCA_TCGA-A7-A425	0	2	8	0	0	0	1	0	2	1	0	6	5	0	8	0
BRCA_TCGA-A7-A4SC	1	4	1	3	8	0	0	0	0	2	4	0	3	1	10	1
BRCA_TCGA-A7-A4SD	0	2	14	4	9	5	0	2	3	0	4	2	0	2	10	5
BRCA_TCGA-A7-A4SE	3	0	3	1	2	18	4	1	11	0	6	5	7	42	41	2
BRCA_TCGA-A7-A56D	10	12	14	15	0	6	0	1	1	1	10	2	46	88	18	1
BRCA_TCGA-A7-A5ZV	2	7	12	8	39	1	0	1	0	27	24	15	2	38	77	15
BRCA_TCGA-A7-A5ZW	1	1	5	3	0	1	0	0	3	6	0	2	0	12	2	0
BRCA_TCGA-A7-A5ZX	1	2	1	4	3	0	0	0	2	2	1	2	9	1	10	4
BRCA_TCGA-A7-A6VV	0	1	12	1	0	3	0	4	0	6	16	0	0	10	11	0
BRCA_TCGA-A7-A6VW	0	0	8	3	0	4	0	1	9	7	16	8	1	9	23	3
BRCA_TCGA-A7-A6VX	0	3	3	3	0	8	2	0	4	10	12	19	27	31	47	8
BRCA_TCGA-A7-A6VY	3	3	2	5	14	10	3	2	5	7	11	3	12	18	38	0
BRCA_TCGA-A8-A075	3	3	6	2	0	0	0	0	0	5	12	4	24	20	19	2
BRCA_TCGA-AC-A23C	7	8	3	5	0	7	0	0	12	5	4	0	25	46	20	3
BRCA_TCGA-AC-A23E	1	1	5	2	6	0	0	0	0	1	4	0	0	0	4	0
BRCA_TCGA-AC-A23H	127	30	0	325	22	0	21	20	0	1	3	4	812	4946	64	3
BRCA_TCGA-AC-A2B8	1	0	6	7	4	3	0	0	0	1	3	0	27	69	7	0
BRCA_TCGA-AC-A2BK	0	13	4	4	31	0	0	1	0	6	10	4	0	4	33	0
BRCA_TCGA-AC-A2BM	0	2	1	1	6	3	0	0	0	0	2	0	0	2	4	5
BRCA_TCGA-AC-A2FB	0	1	2	0	0	0	0	0	3	1	4	0	4	2	0	0
BRCA_TCGA-AC-A2FF	0	0	1	0	0	0	0	0	0	0	0	3	5	2	0	0
BRCA_TCGA-AC-A2FG	0	0	6	3	0	4	0	0	2	1	0	2	6	7	7	1
BRCA_TCGA-AC-A2FK	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
BRCA_TCGA-AC-A2FO	2	0	2	2	0	0	0	0	0	0	1	0	9	8	3	0
BRCA_TCGA-AC-A2QH	1	4	8	0	0	3	0	1	1	0	0	2	0	4	3	0
BRCA_TCGA-AC-A3HN	0	4	2	1	0	0	0	0	4	0	1	0	1	2	5	2
BRCA_TCGA-AC-A3OD	3	5	2	4	0	3	0	2	1	0	8	1	4	5	1	0
BRCA_TCGA-AC-A3QP	0	1	1	3	0	1	0	0	2	5	3	0	0	1	18	0
BRCA_TCGA-AC-A3QQ	2	5	4	0	9	0	0	0	0	0	8	0	4	0	2	2
BRCA_TCGA-AC-A3W5	1	12	2	8	13	8	0	2	0	7	26	0	11	66	48	7
BRCA_TCGA-AC-A3YI	0	2	0	2	1	0	0	0	2	1	2	0	1	0	7	0
BRCA_TCGA-AC-A3YJ	1	4	6	1	3	0	0	0	2	2	9	0	7	3	0	0
BRCA_TCGA-AC-A4ZE	0	6	7	3	6	5	0	1	0	10	0	1	8	6	21	0
BRCA_TCGA-AC-A5EH	7	1	3	5	32	10	1	1	0	18	17	12	10	24	58	6
BRCA_TCGA-AC-A5EI	0	1	7	3	0	0	1	0	3	2	5	0	8	8	5	0
