Samples	SBS96A	SBS96B	SBS96C
ATP2B4_0_multinomial_train1.46	0.00E+00	2.78E-01	2.80E-01
ATP2B4_0_multinomial_train1.47	0.00E+00	2.48E-01	2.49E-01
ATP2B4_0_multinomial_train1.48	0.00E+00	2.67E-01	2.68E-01
ATP2B4_1_multinomial_train1.46	0.00E+00	2.96E-01	2.97E-01
ATP2B4_1_multinomial_train1.47	0.00E+00	3.03E-01	3.04E-01
ATP2B4_1_multinomial_train1.48	5.74E-02	2.35E-01	2.30E-01
PMS1_0_multinomial_train1	0.00E+00	1.77E-01	1.02E-01
MSH6_1_multinomial_train1	6.47E-53	3.41E-01	3.47E-01
MSH6_0_multinomial_train1	3.64E-83	3.51E-01	3.57E-01
MSH2_0_multinomial_train1	0.00E+00	3.44E-01	3.49E-01
MSH6_0_multinomial_train1.1	2.31E-03	3.54E-01	3.60E-01
MLH1_0_multinomial_train1	0.00E+00	3.58E-01	3.63E-01
MSH6_1_multinomial_train1.1	3.78E-03	3.53E-01	3.59E-01
MLH1_0_multinomial_train1.1	1.10E-03	3.59E-01	3.64E-01
PMS1_0_multinomial_train1.1	0.00E+00	1.77E-01	1.03E-01
PMS1_0_multinomial_train1.2	0.00E+00	1.61E-01	1.11E-01
MSH6_1_multinomial_train1.2	1.38E-03	3.60E-01	3.67E-01
MSH6_1_multinomial_train1.3	0.00E+00	3.60E-01	3.65E-01
PMS1_0_multinomial_train1.3	0.00E+00	1.86E-01	9.95E-02
PMS1_0_multinomial_train1.4	0.00E+00	1.85E-01	1.08E-01
PMS2_0_multinomial_train1	0.00E+00	2.40E-01	2.51E-01
MSH6_1_multinomial_train1.4	3.55E-03	3.51E-01	3.57E-01
MSH6_0_multinomial_train1.2	1.21E-07	3.51E-01	3.57E-01
PMS1_0_multinomial_train1.5	6.77E-150	2.24E-01	9.45E-02
PMS1_0_multinomial_train1.6	8.53E-35	2.78E-01	1.34E-01
PMS1_0_multinomial_train1.7	0.00E+00	1.83E-01	1.04E-01
MSH6_1_multinomial_train1.5	3.44E-03	3.45E-01	3.51E-01
MLH1_0_multinomial_train1.2	0.00E+00	3.70E-01	3.74E-01
PMS1_0_multinomial_train1.8	0.00E+00	1.50E-01	1.17E-01
PMS1_0_multinomial_train1.9	1.87E-02	3.54E-01	1.42E-01
MLH1_0_multinomial_train1.3	0.00E+00	3.61E-01	3.65E-01
MSH2_0_multinomial_train1.1	2.29E-90	3.51E-01	3.56E-01
MSH6_1_multinomial_train1.6	8.04E-04	3.50E-01	3.56E-01
MSH2_0_multinomial_train1.2	1.56E-67	3.52E-01	3.58E-01
PMS1_0_multinomial_train1.10	0.00E+00	1.65E-01	1.08E-01
MSH6_0_multinomial_train1.3	2.69E-138	3.50E-01	3.56E-01
MLH1_0_multinomial_train1.4	0.00E+00	3.64E-01	3.69E-01
MSH2_0_multinomial_train1.3	0.00E+00	3.54E-01	3.59E-01
MSH6_1_multinomial_train1.7	6.60E-132	3.38E-01	3.44E-01
MLH1_0_multinomial_train1.5	0.00E+00	3.58E-01	3.63E-01
MLH1_0_multinomial_train1.6	0.00E+00	3.60E-01	3.65E-01
MLH1_0_multinomial_train1.7	0.00E+00	3.65E-01	3.69E-01
MSH6_1_multinomial_train1.8	3.59E-03	3.49E-01	3.55E-01
PMS1_0_multinomial_train1.11	0.00E+00	2.53E-01	1.02E-01
PMS1_0_multinomial_train1.12	1.79E-02	1.90E-01	7.99E-02
MSH2_0_multinomial_train1.4	0.00E+00	3.57E-01	3.62E-01
PMS2_0_multinomial_train1.1	0.00E+00	2.29E-01	2.38E-01
MLH1_0_multinomial_train1.8	0.00E+00	3.66E-01	3.71E-01
PMS1_0_multinomial_train1.13	0.00E+00	1.44E-01	1.18E-01
MSH6_1_multinomial_train1.9	8.34E-04	3.35E-01	3.39E-01
MSH2_0_multinomial_train1.5	2.09E-101	3.56E-01	3.61E-01
MLH1_0_multinomial_train1.9	0.00E+00	3.54E-01	3.60E-01
MSH6_0_multinomial_train1.4	0.00E+00	3.39E-01	3.45E-01
PMS2_0_multinomial_train1.2	0.00E+00	2.32E-01	2.41E-01
MLH1_0_multinomial_train1.10	0.00E+00	3.63E-01	3.68E-01
MSH6_0_multinomial_train1.5	1.23E-134	3.44E-01	3.50E-01
PMS2_0_multinomial_train1.3	0.00E+00	2.36E-01	2.45E-01
MSH2_0_multinomial_train1.6	1.50E-104	3.55E-01	3.60E-01
MSH2_0_multinomial_train1.7	2.55E-03	3.63E-01	3.68E-01
MLH1_0_multinomial_train1.11	0.00E+00	3.65E-01	3.69E-01
MSH6_1_multinomial_train1.10	2.66E-03	3.48E-01	3.54E-01
PMS2_0_multinomial_train1.4	0.00E+00	2.26E-01	2.33E-01
MSH6_1_multinomial_train1.11	3.28E-05	3.33E-01	3.38E-01
MSH6_1_multinomial_train1.12	1.97E-04	3.44E-01	3.50E-01
