Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T	SBS96U
BRCA_TCGA-AN-A0XT	0	2	1	3	0	6	0	0	2	0	0	5	0	2	1	0	0	0	0	0	0
BRCA_TCGA-AN-A0XU	9	0	4	3	4	11	2	2	1	0	7	12	0	2	17	12	0	0	34	8	9
BRCA_TCGA-AN-A0XV	0	6	3	2	0	1	0	0	3	4	1	2	0	1	5	4	0	0	10	1	1
BRCA_TCGA-AN-A0XW	5	3	12	5	0	0	2	2	4	0	0	5	47	2	332	0	1	3	0	0	0
BRCA_TCGA-AO-A03M	18	1	59	6	6	9	2	0	0	0	0	0	172	0	859	0	0	0	18	0	0
BRCA_TCGA-AO-A03N	4	4	8	7	1	3	5	2	8	0	0	0	29	0	54	0	0	0	2	7	0
BRCA_TCGA-AO-A03U	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0
BRCA_TCGA-AO-A03V	1	1	4	4	5	7	0	2	1	0	1	4	12	2	10	0	2	8	3	5	0
BRCA_TCGA-AO-A0JG	2	0	0	0	1	0	1	0	0	0	1	1	2	0	0	2	2	0	6	0	3
BRCA_TCGA-AO-A124	5	5	4	5	2	8	0	2	9	0	10	7	9	2	4	7	5	17	53	17	7
BRCA_TCGA-AO-A125	1	3	4	8	0	0	3	0	4	0	1	6	0	0	3	1	0	0	5	1	5
BRCA_TCGA-AO-A126	0	0	2	2	0	9	0	0	0	0	2	0	0	0	3	0	0	0	1	4	2
BRCA_TCGA-AO-A128	4	135	37	159	103	136	102	0	53	100	256	6	6	0	28	62	20	0	3	0	0
BRCA_TCGA-AO-A129	3	4	2	2	0	13	7	2	5	3	8	4	6	6	28	0	5	0	30	13	3
BRCA_TCGA-AO-A12A	0	3	0	4	0	0	0	0	0	0	0	0	2	1	3	0	0	0	0	1	5
BRCA_TCGA-AO-A12B	0	1	0	4	0	3	2	2	0	0	1	0	0	0	1	0	0	0	3	0	6
BRCA_TCGA-AO-A12D	0	1	8	6	0	4	0	0	2	0	1	4	19	0	18	0	0	3	3	4	0
BRCA_TCGA-AO-A12E	0	4	2	5	0	4	0	0	1	0	1	1	4	0	1	1	0	0	5	1	3
BRCA_TCGA-AO-A12F	1	8	2	5	1	0	0	5	2	0	0	1	0	3	0	1	0	0	5	0	6
BRCA_TCGA-AO-A12G	0	1	1	3	1	13	0	0	3	3	0	1	5	0	5	0	0	0	2	3	1
BRCA_TCGA-AO-A12H	0	1	2	3	4	6	0	0	0	0	3	0	4	0	0	0	0	0	5	2	0
BRCA_TCGA-AO-A1KO	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	5	0	2
BRCA_TCGA-AO-A1KR	1	1	3	7	2	2	0	0	7	2	8	3	0	3	12	1	0	0	24	13	0
BRCA_TCGA-AO-A1KT	0	3	3	6	1	1	2	0	3	6	3	1	1	0	2	0	0	1	5	4	9
BRCA_TCGA-AQ-A04H	2	9	5	11	3	17	0	0	2	5	0	4	0	0	6	4	2	0	4	7	0
BRCA_TCGA-AQ-A0Y5	0	5	6	8	1	6	1	0	0	2	1	0	5	0	17	2	1	0	10	5	0
BRCA_TCGA-AQ-A1H2	0	3	3	3	1	5	0	0	2	0	2	0	1	0	1	2	2	2	3	1	3
