Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
BRCA_TCGA-AN-A0XU	13	12	21	0	0	0	0	0	70	21	0
BRCA_TCGA-AN-A0XV	0	5	0	9	4	0	0	0	20	6	0
BRCA_TCGA-AN-A0XW	0	0	0	0	0	0	0	0	0	423	0
BRCA_TCGA-AO-A03M	0	0	0	0	57	0	0	0	0	1093	0
BRCA_TCGA-AO-A03N	0	17	0	0	10	0	0	13	0	94	0
BRCA_TCGA-AO-A03U	0	0	0	0	0	0	0	0	3	2	0
BRCA_TCGA-AO-A03V	0	0	0	4	6	22	0	0	21	19	0
BRCA_TCGA-AO-A0JG	4	0	5	0	0	0	0	0	10	2	0
BRCA_TCGA-AO-A124	9	16	25	0	5	0	0	0	109	14	0
BRCA_TCGA-AO-A125	0	10	9	0	4	8	0	0	10	4	0
BRCA_TCGA-AO-A126	0	6	0	0	2	0	0	0	13	4	0
BRCA_TCGA-AO-A128	0	399	469	65	0	0	277	0	0	0	0
BRCA_TCGA-AO-A129	0	13	0	0	0	0	12	15	59	37	8
BRCA_TCGA-AO-A12A	0	8	0	3	0	0	0	0	0	8	0
BRCA_TCGA-AO-A12B	0	10	0	0	0	0	0	3	10	0	0
BRCA_TCGA-AO-A12D	0	0	0	0	13	27	0	0	0	33	0
BRCA_TCGA-AO-A12E	0	8	0	3	2	5	0	0	12	3	0
BRCA_TCGA-AO-A12F	3	10	0	11	2	0	0	0	14	0	0
BRCA_TCGA-AO-A12G	0	10	0	0	0	14	9	0	0	9	0
BRCA_TCGA-AO-A12H	0	6	0	0	2	8	5	0	9	0	0
BRCA_TCGA-AO-A1KO	0	0	3	0	2	0	0	0	5	0	0
BRCA_TCGA-AO-A1KR	0	10	15	0	3	0	0	0	47	14	0
BRCA_TCGA-AO-A1KT	0	12	0	0	3	0	14	0	18	4	0
BRCA_TCGA-AQ-A04H	4	32	0	4	3	0	9	0	22	7	0
BRCA_TCGA-AQ-A0Y5	0	20	0	0	6	0	0	0	21	23	0
BRCA_TCGA-AQ-A1H2	0	10	6	0	3	0	0	0	10	2	3
BRCA_TCGA-AQ-A1H3	0	19	0	0	0	8	0	0	0	0	0
BRCA_TCGA-AQ-A54O	0	8	10	0	0	0	0	0	0	7	0
BRCA_TCGA-AQ-A7U7	0	0	0	11	12	0	0	0	0	73	0
BRCA_TCGA-AR-A0TP	0	4	12	0	0	0	6	0	40	9	0
BRCA_TCGA-AR-A0TQ	0	0	0	4	3	17	0	0	11	14	0
BRCA_TCGA-AR-A0TR	0	8	8	0	4	15	7	0	0	0	0
BRCA_TCGA-AR-A0TS	0	8	0	4	0	15	0	8	40	15	0
BRCA_TCGA-AR-A0TT	0	6	0	9	5	15	7	0	18	15	0
BRCA_TCGA-AR-A0TU	6	8	0	6	0	0	0	6	49	15	0
BRCA_TCGA-AR-A0TV	0	13	0	0	0	25	7	0	27	7	0
BRCA_TCGA-AR-A0TW	5	17	11	0	3	0	0	0	26	5	0
BRCA_TCGA-AR-A0TX	0	0	0	0	38	0	0	0	0	369	0
BRCA_TCGA-AR-A0TZ	7	12	9	0	10	0	0	0	0	29	0
BRCA_TCGA-AR-A0U0	4	0	0	4	3	13	0	0	16	10	0
BRCA_TCGA-AR-A0U1	0	5	0	0	0	0	18	7	63	16	0
BRCA_TCGA-AR-A0U2	0	8	0	14	2	8	0	0	24	0	0
BRCA_TCGA-AR-A0U3	3	0	0	10	4	11	0	0	12	0	0
BRCA_TCGA-AR-A0U4	12	11	21	0	0	0	0	0	92	65	0
BRCA_TCGA-AR-A1AH	10	6	0	11	0	0	16	9	57	11	0
BRCA_TCGA-AR-A1AI	0	0	0	11	10	27	0	0	23	18	0
BRCA_TCGA-AR-A1AJ	0	15	0	0	4	0	0	0	0	34	0
BRCA_TCGA-AR-A1AK	0	13	0	0	6	0	0	0	25	38	0
BRCA_TCGA-AR-A1AL	0	5	4	0	0	0	5	0	8	8	0
BRCA_TCGA-AR-A1AN	0	15	0	0	0	0	0	0	10	6	0
BRCA_TCGA-AR-A1AO	0	13	0	0	8	0	0	0	62	32	7
BRCA_TCGA-AR-A1AP	0	14	0	6	6	12	0	0	0	13	0
BRCA_TCGA-AR-A1AQ	0	9	15	0	0	0	0	0	12	5	0
BRCA_TCGA-AR-A1AR	3	8	0	6	0	0	0	0	31	10	5
BRCA_TCGA-AR-A1AS	0	0	0	10	5	8	0	0	0	18	0
BRCA_TCGA-AR-A1AT	0	7	9	0	0	0	0	0	13	3	0
BRCA_TCGA-AR-A1AU	0	9	0	0	0	0	4	0	10	3	0
BRCA_TCGA-AR-A1AV	2	12	0	7	3	0	0	0	19	6	0
BRCA_TCGA-AR-A1AW	3	0	0	7	0	15	5	0	11	0	0
BRCA_TCGA-AR-A1AX	0	0	0	3	6	10	0	0	13	0	0
BRCA_TCGA-AR-A1AY	0	12	10	0	3	14	0	0	19	14	0
BRCA_TCGA-AR-A24H	13	0	0	7	0	32	0	0	71	29	0
BRCA_TCGA-AR-A24K	0	2	0	0	2	8	5	4	13	0	0
BRCA_TCGA-AR-A24L	0	0	0	5	0	5	0	0	35	8	0
BRCA_TCGA-AR-A24M	0	5	6	0	0	0	0	3	11	0	0
BRCA_TCGA-AR-A24N	0	10	0	5	0	24	0	0	0	8	0
BRCA_TCGA-AR-A24O	2	4	0	0	0	16	0	0	0	0	0
BRCA_TCGA-AR-A24P	0	2	0	3	4	3	0	0	7	0	0
BRCA_TCGA-AR-A24Q	9	0	30	11	0	20	0	0	114	48	0
BRCA_TCGA-AR-A24R	0	13	13	0	0	0	0	0	0	0	0
BRCA_TCGA-AR-A24S	0	14	0	0	0	11	13	5	0	14	0
BRCA_TCGA-AR-A24T	0	8	0	0	1	0	0	0	12	3	0
BRCA_TCGA-AR-A24U	0	6	0	4	3	0	0	0	10	21	0
BRCA_TCGA-AR-A24V	0	8	0	2	4	0	0	0	9	5	0
BRCA_TCGA-AR-A24W	0	0	0	2	1	5	0	0	6	0	0
BRCA_TCGA-AR-A24X	0	6	0	3	5	0	0	0	20	0	0
BRCA_TCGA-AR-A24Z	0	11	8	0	0	0	0	0	29	8	0
BRCA_TCGA-AR-A250	0	30	0	0	13	0	0	10	35	67	0
BRCA_TCGA-AR-A251	0	0	0	8	0	22	0	14	121	40	0
BRCA_TCGA-AR-A252	0	6	0	0	0	9	4	0	0	0	0
BRCA_TCGA-AR-A254	0	10	0	0	4	7	0	0	15	6	0
BRCA_TCGA-AR-A255	8	9	11	0	6	0	0	0	24	31	0
BRCA_TCGA-AR-A256	0	0	0	11	8	30	0	0	129	35	11
BRCA_TCGA-AR-A2LE	0	0	0	0	42	46	0	0	0	306	0
BRCA_TCGA-AR-A2LH	0	0	0	6	9	12	0	0	0	44	0
BRCA_TCGA-AR-A2LK	0	14	0	0	0	10	0	7	12	5	0
BRCA_TCGA-AR-A2LL	3	10	0	0	0	15	0	0	9	0	0
BRCA_TCGA-AR-A2LM	0	0	0	0	3	0	0	0	14	0	0
BRCA_TCGA-AR-A2LN	0	0	0	3	8	21	0	0	0	22	0
BRCA_TCGA-AR-A2LO	0	3	0	0	1	0	0	0	8	3	2
BRCA_TCGA-AR-A2LQ	0	3	0	0	0	4	0	0	6	0	0
BRCA_TCGA-AR-A2LR	2	0	0	11	4	17	0	0	36	0	0
BRCA_TCGA-AR-A5QM	0	7	0	0	2	5	0	4	18	0	0
BRCA_TCGA-AR-A5QN	0	8	0	8	5	18	5	0	0	5	0
BRCA_TCGA-AR-A5QP	2	7	0	0	2	12	7	0	0	4	0
BRCA_TCGA-AR-A5QQ	0	7	11	0	0	13	15	0	37	13	0
BRCA_TCGA-B6-A0I1	0	15	0	0	5	14	0	0	40	6	0
BRCA_TCGA-B6-A0IH	0	0	0	14	5	12	0	0	10	0	0
BRCA_TCGA-B6-A0RH	0	5	0	0	3	17	0	0	0	20	0
BRCA_TCGA-B6-A0RL	0	16	12	0	3	18	0	0	0	20	0
BRCA_TCGA-B6-A0RM	0	8	0	4	2	10	5	0	0	7	0
BRCA_TCGA-B6-A0RN	0	12	10	0	1	0	0	0	8	2	0
BRCA_TCGA-B6-A0RO	0	0	11	0	7	10	0	0	12	3	0
BRCA_TCGA-B6-A0RP	0	0	0	5	0	12	0	0	13	0	0
BRCA_TCGA-B6-A0RQ	0	0	0	5	4	16	0	0	13	18	0
BRCA_TCGA-B6-A0RT	0	7	0	0	0	0	0	7	36	22	0
BRCA_TCGA-B6-A0RU	0	7	9	5	7	0	0	0	23	7	0
