	0	1	2	3	4	5	6	7	8	9
51000						[3.6795521012953865, 3.6795521012953865, 411.68456754343316, 0.8708333373069763, 0.0]			[3.679551676479302, 3.679551676479302, 411.677608465898, 0.8708333373069763, 0.0]	
52000						[3.6795521012953807, 3.6795521012953807, 411.68455875475104, 0.8708333373069763, 0.0]			[3.6795516764792944, 3.6795516764792944, 411.67760195402604, 0.8708333373069763, 0.0]	
53000						[3.679552101295353, 3.679552101295353, 411.68455486225673, 0.8708333373069763, 0.0]			[3.679551676479318, 3.679551676479318, 411.67759899714264, 0.8708333373069763, 0.0]	
54000						[3.679552101295374, 3.679552101295374, 411.68455311248835, 0.8708333373069763, 0.0]			[3.679551676479292, 3.679551676479292, 411.6775976349947, 0.8708333373069763, 0.0]	
55000						[3.6795521012953705, 3.6795521012953705, 411.6845523161576, 0.8708333373069763, 0.0]			[3.6795516764792873, 3.6795516764792873, 411.6775970024115, 0.8708333373069763, 0.0]	
56000									[3.679551676479291, 3.679551676479291, 411.6775967071262, 0.8708333373069763, 0.0]	
57000									[3.679551676479293, 3.679551676479293, 411.6775965688297, 0.8708333373069763, 0.0]	
58000									[3.679551676479269, 3.679551676479269, 411.6775965046397, 0.8708333373069763, 0.0]	
59000									[3.6795516764785554, 3.6795516764785554, 411.6775964914834, 0.8708333373069763, 0.0]	
60000									[3.67955167646276, 3.67955167646276, 411.67759686374245, 0.8708333373069763, 0.0]	
61000									[3.6795516761259868, 3.6795516761259868, 411.67760528922446, 0.8708333373069763, 0.0]	
62000									[3.6795516723347417, 3.6795516723347417, 411.6777396706612, 0.8708333373069763, 0.0]	
63000									[3.679551669707404, 3.679551669707404, 411.67809670155606, 0.8708333373069763, 0.0]	
64000									[3.6795516696732613, 3.6795516696732613, 411.67815418419434, 0.8708333373069763, 0.0]	
65000									[3.679551669673053, 3.679551669673053, 411.6781370222526, 0.8708333373069763, 0.0]	
66000									[3.679551669673044, 3.679551669673044, 411.67812502697456, 0.8708333373069763, 0.0]	
67000									[3.6795516696730233, 3.6795516696730233, 411.6781189311504, 0.8708333373069763, 0.0]	
68000									[3.679551669673039, 3.679551669673039, 411.678115965623, 0.8708333373069763, 0.0]	
69000									[3.6795516696730384, 3.6795516696730384, 411.67811453925714, 0.8708333373069763, 0.0]	
70000									[3.679551669673046, 3.679551669673046, 411.678113856177, 0.8708333373069763, 0.0]	
