Samples	SBS96A	SBS96B	SBS96C
UNG_0_multinomial_train1.44	0.5612704508051454	0.3329124370278171	0.1058171121670375
OGG1_0_multinomial_train1.51	5.04e-322	9.04e-322	1.0
OGG1_0_multinomial_train1.52	4.64e-322	4.15e-322	1.0
ATP2B4_0_multinomial_train1	0.4623667365725498	0.16011783396569784	0.3775154294617524
ATP2B4_1_multinomial_train1	0.5646115559091627	0.08704019749784851	0.3483482465929887
ATP2B4_0_multinomial_train1.1	0.7979099816707036	3.3304206867790004e-109	0.20209001832929624
ATP2B4_1_multinomial_train1.1	0.5398195806134025	4.1058523706236295e-105	0.46018041938659754
ATP2B4_1_multinomial_train1.2	0.41350061644686087	0.023880325694315786	0.5626190578588233
ATP2B4_1_multinomial_train1.3	0.7997246473087438	1.233752687303113e-133	0.20027535269125604
ATP2B4_0_multinomial_train1.2	0.7711315703130691	1.96e-321	0.22886842968693075
ATP2B4_1_multinomial_train1.4	0.21718544901589287	0.11145692901163667	0.6713576219724704
ATP2B4_0_multinomial_train1.3	0.8551443285900088	1.843e-321	0.14485567140999123
ATP2B4_0_multinomial_train1.4	0.7319596663869572	0.04891019680953444	0.2191301368035083
ATP2B4_0_multinomial_train1.5	0.6222585943298855	0.07337066572589804	0.30437073994421643
ATP2B4_0_multinomial_train1.6	0.7620209031578834	0.02590299238338752	0.21207610445872901
ATP2B4_1_multinomial_train1.5	0.17928838180301981	0.0922636314440995	0.7284479867528808
ATP2B4_0_multinomial_train1.7	0.42491844275548013	0.11539431637082968	0.45968724087369006
ATP2B4_1_multinomial_train1.6	0.1341599046603589	0.11168347590982686	0.7541566194298142
ATP2B4_1_multinomial_train1.7	0.2939177713195768	0.13198212345871688	0.5741001052217064
ATP2B4_1_multinomial_train1.8	0.5440421800207269	0.13859837029972952	0.31735944967954355
ATP2B4_1_multinomial_train1.9	0.41247759271413226	0.04062512437098049	0.5468972829148873
ATP2B4_1_multinomial_train1.10	0.3815239519160941	0.11435518259055102	0.5041208654933549
ATP2B4_1_multinomial_train1.11	0.5291053582855465	0.06792186725465786	0.4029727744597957
ATP2B4_1_multinomial_train1.12	0.5264051628146568	0.06004441115024868	0.4135504260350944
ATP2B4_1_multinomial_train1.13	0.5132862764424442	3.762624043806242e-58	0.4867137235575558
ATP2B4_0_multinomial_train1.8	0.7978790993314557	0.010870874572508816	0.19125002609603545
ATP2B4_1_multinomial_train1.14	0.16002456307094293	0.16108217543246886	0.6788932614965884
ATP2B4_1_multinomial_train1.15	0.4569236452492514	0.07211374252814819	0.4709626122226005
ATP2B4_0_multinomial_train1.9	0.526175623231978	0.11881152438800092	0.3550128523800211
ATP2B4_0_multinomial_train1.10	0.8017432837807705	1.25e-321	0.1982567162192294
ATP2B4_0_multinomial_train1.11	0.7690811348368043	0.03933245924431414	0.19158640591888149
ATP2B4_1_multinomial_train1.16	0.15817092314898643	0.1787468748489781	0.6630822020020355
ATP2B4_0_multinomial_train1.12	0.8130184792395135	0.014613323232995232	0.17236819752749125
ATP2B4_0_multinomial_train1.13	0.8937579553418448	3.0035094152136282e-217	0.10624204465815536
ATP2B4_0_multinomial_train1.14	0.6165501681197969	0.07696742378234764	0.30648240809785554
