Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T	SBS96U	SBS96V
BRCA_TCGA-A2-A0T4	0	4	0	1	1	4	0	1	1	0	3	0	3	0	8	2	1	0	10	0	0	2
BRCA_TCGA-A2-A0T5	0	2	1	2	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	2	1
BRCA_TCGA-A2-A0T6	0	4	2	5	0	3	0	0	2	0	0	1	0	1	1	2	2	0	1	0	1	3
BRCA_TCGA-A2-A0T7	0	2	3	3	0	5	0	0	0	2	1	2	2	2	1	0	0	2	4	0	0	0
BRCA_TCGA-A2-A0YC	0	2	1	1	1	5	1	1	0	1	0	0	0	1	3	1	2	0	8	2	1	1
BRCA_TCGA-A2-A0YD	1	2	12	5	0	1	0	2	2	0	0	0	6	10	30	11	0	0	0	0	2	3
BRCA_TCGA-A2-A0YE	1	5	2	4	0	3	0	1	0	0	1	0	3	5	3	6	0	0	2	6	1	0
BRCA_TCGA-A2-A0YF	4	3	1	1	1	4	0	0	0	0	0	4	1	3	0	0	3	0	1	1	8	4
BRCA_TCGA-A2-A0YG	0	3	4	6	0	7	1	3	8	2	4	6	6	8	3	0	3	0	8	0	3	3
BRCA_TCGA-A2-A0YH	2	3	5	9	3	0	0	0	3	0	2	0	9	10	38	0	2	0	8	4	0	2
BRCA_TCGA-A2-A0YI	0	1	1	1	0	0	1	0	0	1	0	0	0	1	1	0	3	0	1	0	5	2
BRCA_TCGA-A2-A0YJ	3	5	4	8	0	8	1	0	11	4	1	3	5	0	5	0	6	6	22	4	0	2
BRCA_TCGA-A2-A0YK	4	0	23	5	0	1	0	10	0	0	0	0	0	86	291	34	0	0	0	17	0	7
BRCA_TCGA-A2-A0YL	0	1	1	2	0	0	0	1	1	0	1	0	5	8	14	5	2	0	0	0	0	2
BRCA_TCGA-A2-A0YM	0	8	7	8	1	9	0	0	0	1	5	1	0	15	24	3	7	0	9	9	1	1
BRCA_TCGA-A2-A0YT	0	9	10	5	0	1	0	2	2	0	2	0	0	13	6	6	3	0	16	2	1	3
BRCA_TCGA-A2-A1FV	0	3	2	7	0	0	0	1	0	1	2	0	6	5	2	11	0	0	5	1	1	3
BRCA_TCGA-A2-A1FW	4	5	5	11	5	6	1	0	7	5	0	1	4	6	6	0	0	3	6	3	12	5
BRCA_TCGA-A2-A1FX	2	3	2	1	0	2	0	0	0	0	1	0	4	2	0	0	0	0	4	0	2	5
BRCA_TCGA-A2-A1FZ	0	2	0	4	0	2	0	0	4	3	3	0	1	3	1	0	0	0	0	2	3	1
BRCA_TCGA-A2-A1G0	0	0	2	2	0	0	0	1	0	0	1	0	9	0	1	1	0	0	2	1	2	1
BRCA_TCGA-A2-A1G1	0	0	1	4	1	2	0	3	4	0	2	1	3	3	1	2	0	0	3	4	2	3
BRCA_TCGA-A2-A1G6	0	1	0	1	2	0	0	0	0	0	0	2	0	0	1	0	0	0	3	0	0	0
BRCA_TCGA-A2-A259	0	1	2	2	2	1	0	0	0	0	0	0	4	5	1	0	4	0	4	0	3	0
BRCA_TCGA-A2-A25A	3	2	2	5	0	3	3	2	0	0	1	0	0	32	47	15	0	0	3	0	7	4
BRCA_TCGA-A2-A25B	3	6	5	1	0	5	8	2	11	2	0	3	7	11	3	2	7	0	27	2	9	14
BRCA_TCGA-A2-A25C	3	0	0	1	1	1	0	0	2	7	1	13	0	3	1	0	0	0	3	0	2	1
BRCA_TCGA-A2-A25D	0	2	2	3	7	3	0	1	1	0	3	2	8	4	7	0	4	3	4	0	9	1
BRCA_TCGA-A2-A25E	1	1	2	2	9	2	0	3	0	1	3	4	0	3	4	0	3	0	16	0	2	5
BRCA_TCGA-A2-A25F	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1
BRCA_TCGA-A2-A3KD	0	1	0	3	0	2	0	0	0	2	0	0	3	2	0	3	0	0	0	0	0	2
BRCA_TCGA-A2-A3XT	4	1	0	5	7	1	0	0	0	1	9	0	11	0	30	0	5	3	30	0	13	2
BRCA_TCGA-A2-A3XU	0	2	1	4	0	5	1	0	4	2	1	0	0	0	1	1	0	0	7	0	0	2
BRCA_TCGA-A2-A3XV	0	5	3	2	2	0	0	0	4	5	0	2	8	1	0	0	6	2	5	0	3	0
BRCA_TCGA-A2-A3XW	0	1	2	0	0	3	0	2	0	0	2	0	0	1	0	2	0	0	2	0	0	2
BRCA_TCGA-A2-A3XX	0	5	4	5	1	0	0	3	3	1	2	3	4	2	1	1	0	0	12	0	2	3
BRCA_TCGA-A2-A3XZ	0	2	5	4	0	3	0	0	4	0	2	0	0	4	17	2	0	0	4	0	0	5
BRCA_TCGA-A2-A3Y0	4	9	4	5	3	5	3	0	9	15	12	7	22	0	47	0	6	5	68	0	12	7
BRCA_TCGA-A2-A4S1	7	6	1	3	5	10	1	1	0	5	0	1	0	1	5	4	0	1	20	3	17	7
BRCA_TCGA-A2-A4S2	0	3	0	3	1	2	0	1	3	2	1	0	3	2	3	2	8	0	0	2	6	1
BRCA_TCGA-A2-A4S3	4	5	3	9	5	3	0	2	4	3	4	4	6	7	12	4	9	0	12	3	2	6
BRCA_TCGA-A7-A0CE	1	3	1	2	0	1	1	0	4	3	2	5	2	7	2	5	0	0	12	2	0	8
BRCA_TCGA-A7-A0CH	0	0	1	0	0	3	0	0	0	0	2	0	5	2	0	0	0	0	1	0	2	1
BRCA_TCGA-A7-A0D9	0	1	0	1	0	0	0	0	0	0	0	0	1	3	1	3	0	1	0	0	0	1
BRCA_TCGA-A7-A0DA	2	3	5	2	0	8	0	4	9	0	6	8	7	3	12	11	1	5	64	0	25	12
BRCA_TCGA-A7-A0DB	1	3	2	4	1	3	0	3	1	1	0	0	0	7	11	0	5	3	1	0	7	0
BRCA_TCGA-A7-A13D	0	4	3	6	1	7	0	4	9	2	4	7	7	6	13	1	3	0	53	1	2	7
BRCA_TCGA-A7-A13E	0	9	3	17	5	6	3	0	3	0	3	0	0	5	4	0	3	0	13	4	2	0
BRCA_TCGA-A7-A13F	1	4	5	4	1	7	0	0	5	2	2	0	1	3	4	0	1	0	2	2	0	1
BRCA_TCGA-A7-A13G	1	3	0	1	0	2	0	1	3	0	1	0	1	2	5	6	0	0	2	0	1	3
BRCA_TCGA-A7-A26E	0	2	8	7	1	5	1	2	1	0	1	0	0	11	9	6	3	1	1	0	8	0
BRCA_TCGA-A7-A26F	2	0	4	8	2	1	1	0	2	0	0	0	5	3	3	1	2	0	5	0	6	1
BRCA_TCGA-A7-A26G	2	3	2	0	0	3	2	3	4	2	0	1	5	2	10	8	0	0	7	0	10	4
BRCA_TCGA-A7-A26H	2	3	6	11	2	12	0	1	0	0	2	0	0	22	63	11	0	0	1	4	6	4
BRCA_TCGA-A7-A26I	1	1	2	2	1	3	0	0	1	1	2	0	7	4	4	3	2	0	5	0	5	2
BRCA_TCGA-A7-A26J	3	1	0	5	0	0	0	0	1	0	0	1	2	7	1	2	1	0	9	0	7	2
BRCA_TCGA-A7-A2KD	1	5	3	2	3	8	0	1	0	0	1	0	4	4	5	4	1	0	5	0	1	7
