Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
MLH1_boot.24	5.91E-02	8.22E-02	0.00E+00	2.76E-02	9.27E-03	1.06E-01	0.00E+00	7.47E-02
MLH1_boot.25	5.76E-02	8.22E-02	0.00E+00	2.80E-02	1.37E-02	1.06E-01	0.00E+00	7.42E-02
MLH1_boot.26	5.71E-02	8.05E-02	0.00E+00	2.87E-02	1.40E-02	1.06E-01	0.00E+00	7.50E-02
MLH1_boot.27	5.80E-02	8.38E-02	0.00E+00	2.86E-02	1.41E-02	1.06E-01	0.00E+00	7.43E-02
MLH1_boot.28	6.19E-02	9.26E-02	0.00E+00	2.70E-02	8.67E-03	1.05E-01	0.00E+00	7.59E-02
MLH1_boot.29	6.38E-02	8.86E-02	0.00E+00	2.75E-02	8.25E-03	1.05E-01	0.00E+00	9.74E-02
MLH1_boot.30	5.78E-02	8.31E-02	0.00E+00	2.71E-02	1.38E-02	1.06E-01	0.00E+00	7.39E-02
MLH1_boot.31	6.22E-02	8.32E-02	0.00E+00	2.66E-02	1.32E-02	1.07E-01	0.00E+00	8.43E-02
MLH1_boot.32	6.07E-02	8.40E-02	0.00E+00	2.75E-02	1.32E-02	1.05E-01	0.00E+00	7.31E-02
MLH1_boot.33	5.98E-02	8.09E-02	0.00E+00	2.76E-02	1.35E-02	1.06E-01	0.00E+00	9.60E-02
MLH1_boot.34	5.61E-02	8.05E-02	0.00E+00	2.92E-02	1.43E-02	1.05E-01	0.00E+00	7.45E-02
MLH1_boot.35	1.00E-26	7.01E-02	0.00E+00	8.76E-02	3.14E-103	1.01E-01	1.17E-02	3.61E-02
MLH1_boot.36	5.93E-02	9.31E-02	0.00E+00	2.68E-02	1.19E-02	1.05E-01	0.00E+00	8.62E-02
MLH1_boot.37	1.76E-83	6.97E-02	0.00E+00	8.57E-02	0.00E+00	9.90E-02	1.18E-02	3.69E-02
MLH1_boot.38	3.82E-04	1.00E-01	0.00E+00	2.56E-02	8.02E-03	1.06E-01	0.00E+00	8.80E-02
MLH1_boot.39	2.34E-13	1.03E-01	0.00E+00	3.83E-01	1.23E-02	1.07E-01	0.00E+00	9.13E-02
MLH1_boot.40	3.84E-27	1.02E-01	9.13E-53	7.88E-02	1.24E-124	1.01E-01	8.66E-03	3.56E-02
MLH1_boot.41	7.20E-13	9.82E-02	0.00E+00	2.56E-02	1.18E-02	1.06E-01	0.00E+00	7.59E-02
MLH1_boot.42	1.00E-26	6.96E-02	7.04E-90	7.01E-02	0.00E+00	1.01E-01	1.02E-02	3.55E-02
MLH1_boot.43	1.00E-26	1.01E-01	6.61E-111	9.66E-02	4.85E-139	1.00E-01	9.37E-03	3.57E-02
MLH1_boot.44	6.55E-02	1.10E-01	0.00E+00	2.59E-02	1.30E-02	1.10E-01	0.00E+00	9.36E-02
MLH1_boot.45	4.00E-27	7.73E-02	1.00E-26	8.04E-02	0.00E+00	9.91E-02	8.12E-03	3.45E-02
MLH1_boot.46	5.64E-28	1.01E-01	1.00E-26	8.04E-02	0.00E+00	9.93E-02	8.23E-03	3.48E-02
MLH1_boot.47	2.66E-27	9.63E-02	9.04E-104	7.57E-02	4.02E-120	1.01E-01	9.97E-03	3.54E-02
MLH1_boot.48	1.00E-26	1.05E-01	1.10E-47	7.96E-02	6.27E-143	1.02E-01	8.62E-03	3.53E-02
MLH1_boot.49	6.28E-02	9.52E-02	0.00E+00	2.70E-02	1.29E-02	1.07E-01	0.00E+00	8.19E-02
MLH1_boot.50	7.70E-18	8.93E-02	0.00E+00	3.25E-01	9.31E-03	1.05E-01	0.00E+00	8.38E-02
MLH1_boot.51	1.13E-31	7.63E-02	1.28E-47	7.53E-02	0.00E+00	1.02E-01	8.13E-03	3.60E-02
MLH1_boot.52	1.76E-20	9.60E-02	0.00E+00	2.50E-02	1.23E-02	1.07E-01	0.00E+00	9.10E-02
MLH1_real	5.81E-28	1.03E-01	2.32E-100	8.21E-02	5.37E-130	1.03E-01	8.77E-03	3.56E-02
MLH1_real.1	1.93E-25	6.79E-02	0.00E+00	8.67E-02	0.00E+00	9.84E-02	1.16E-02	3.57E-02
MLH1_real.2	6.47E-02	9.78E-02	0.00E+00	2.66E-02	7.96E-03	1.07E-01	0.00E+00	9.09E-02
MSH2_boot	5.77E-02	8.85E-02	0.00E+00	2.92E-02	1.47E-02	1.10E-01	0.00E+00	9.88E-02
MSH2_boot.1	5.96E-02	9.37E-02	0.00E+00	2.91E-02	1.23E-02	1.12E-01	0.00E+00	8.49E-02
MSH2_boot.2	4.15E-80	6.88E-02	0.00E+00	7.83E-02	0.00E+00	9.71E-02	1.20E-02	3.98E-02
MSH2_boot.3	4.16E-03	6.93E-02	0.00E+00	8.36E-02	0.00E+00	9.74E-02	1.12E-02	3.86E-02
MSH2_boot.4	1.43E-117	6.20E-02	0.00E+00	8.20E-02	0.00E+00	9.87E-02	1.15E-02	3.83E-02
MSH2_boot.5	1.34E-136	7.17E-02	0.00E+00	7.48E-02	0.00E+00	9.93E-02	1.09E-02	3.81E-02
MSH2_boot.6	4.13E-03	6.53E-02	0.00E+00	8.36E-02	0.00E+00	9.59E-02	1.18E-02	3.85E-02
