Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q
BRCA_TCGA-AC-A2FK	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0
BRCA_TCGA-AC-A2FO	2	0	2	2	0	0	0	0	0	0	3	0	3	10	0	4	1
BRCA_TCGA-AC-A2QH	1	4	0	6	0	3	1	0	2	1	0	0	0	4	0	5	0
BRCA_TCGA-AC-A3HN	0	3	1	1	2	0	0	0	0	3	1	0	1	2	2	5	1
BRCA_TCGA-AC-A3OD	3	5	5	2	0	3	2	0	2	1	0	0	8	6	0	2	0
BRCA_TCGA-AC-A3QP	0	1	3	1	0	1	0	0	0	2	0	6	3	0	0	4	14
BRCA_TCGA-AC-A3QQ	1	4	0	3	9	0	0	0	0	0	4	0	6	0	2	7	0
BRCA_TCGA-AC-A3W5	1	10	7	4	1	9	3	0	0	0	5	5	24	57	6	78	1
BRCA_TCGA-AC-A3YI	0	2	2	0	3	0	0	0	0	2	0	1	2	0	0	0	6
BRCA_TCGA-AC-A3YJ	1	4	1	5	4	0	0	0	0	2	1	2	12	4	0	2	0
BRCA_TCGA-AC-A4ZE	0	5	2	7	0	0	2	0	0	0	15	8	4	5	0	15	11
BRCA_TCGA-AC-A5EH	6	1	5	1	23	11	0	2	12	1	6	15	15	23	6	52	26
BRCA_TCGA-AC-A5EI	0	1	3	6	0	0	0	0	0	2	5	3	7	8	0	8	0
BRCA_TCGA-AC-A5XS	16	0	58	0	14	0	0	0	2	0	62	0	66	490	0	7	0
BRCA_TCGA-AC-A5XU	2	12	3	14	25	0	4	2	0	3	7	0	7	16	0	0	18
BRCA_TCGA-AC-A62V	6	20	4	9	19	5	0	0	0	2	0	1	12	7	0	20	1
BRCA_TCGA-AC-A62X	6	10	2	16	24	0	1	0	1	5	0	1	6	3	2	6	4
BRCA_TCGA-AC-A62Y	0	3	2	10	2	3	0	0	6	1	4	6	5	27	2	17	1
BRCA_TCGA-AC-A6IV	0	1	4	3	3	2	3	0	0	0	0	1	4	0	0	2	4
BRCA_TCGA-AC-A6IW	0	12	6	6	18	5	2	2	0	2	0	6	30	88	5	39	10
BRCA_TCGA-AC-A6IX	0	4	1	6	1	0	0	0	0	0	15	6	12	26	0	0	0
BRCA_TCGA-AC-A6NO	0	1	1	9	0	0	0	0	0	0	15	4	1	1	0	0	11
BRCA_TCGA-AC-A7VB	0	5	0	9	0	2	0	0	0	0	2	4	7	0	0	0	6
BRCA_TCGA-AC-A7VC	0	2	3	5	0	3	0	0	0	2	0	1	3	0	0	4	3
BRCA_TCGA-AC-A8OP	7	12	13	16	25	15	9	6	25	9	0	7	10	23	2	53	12
BRCA_TCGA-AC-A8OQ	1	8	9	19	0	0	1	0	5	1	21	0	11	15	6	25	15
BRCA_TCGA-AC-A8OR	0	4	0	0	9	1	0	0	5	0	1	1	2	0	1	5	3
BRCA_TCGA-AC-A8OS	0	0	1	9	3	3	0	1	0	3	5	7	11	17	4	10	5
BRCA_TCGA-AN-A0XL	3	0	2	5	6	0	4	0	0	1	3	3	6	0	0	0	7
BRCA_TCGA-AN-A0XN	5	6	4	3	5	10	7	0	4	13	0	5	9	16	9	49	30
BRCA_TCGA-AN-A0XO	0	2	5	2	0	0	0	0	0	2	7	4	3	7	0	10	1
BRCA_TCGA-AN-A0XP	1	2	1	1	4	1	0	0	2	6	2	0	1	5	2	6	0
BRCA_TCGA-AN-A0XR	0	0	0	4	1	3	0	0	1	0	4	0	6	5	0	8	6
BRCA_TCGA-AN-A0XS	0	0	3	1	5	2	0	1	0	0	7	0	1	4	0	3	5
BRCA_TCGA-AN-A0XT	0	2	1	6	0	2	0	0	2	1	0	0	6	1	0	0	1
BRCA_TCGA-AN-A0XU	10	0	3	9	0	7	6	1	2	1	0	8	11	17	1	49	12
BRCA_TCGA-AN-A0XV	0	6	3	1	7	2	0	0	1	4	0	1	1	5	0	10	3
BRCA_TCGA-AN-A0XW	4	2	11	3	6	3	0	1	3	0	1	0	6	380	3	0	0
BRCA_TCGA-AO-A03M	16	0	62	9	0	0	0	0	4	0	27	2	22	1008	0	0	0
BRCA_TCGA-AO-A03N	4	3	8	6	11	4	5	1	1	0	9	0	3	73	0	0	6
BRCA_TCGA-AO-A03U	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2
BRCA_TCGA-AO-A03V	2	0	4	6	0	0	0	3	2	0	14	1	11	16	2	1	10
BRCA_TCGA-AO-A0JG	3	0	0	0	0	0	2	0	1	0	4	1	2	1	2	5	0
BRCA_TCGA-AO-A124	6	5	6	5	9	11	0	3	1	1	0	12	16	8	5	57	33
BRCA_TCGA-AO-A125	1	2	4	5	7	3	5	0	0	1	0	1	5	3	0	8	0
BRCA_TCGA-AO-A126	0	0	2	6	0	1	0	0	0	0	0	3	0	3	0	3	7
BRCA_TCGA-AO-A128	1	140	26	198	112	87	151	0	10	111	71	271	0	12	20	0	0
BRCA_TCGA-AO-A129	1	4	1	8	0	5	3	1	13	4	0	9	6	32	6	34	17
BRCA_TCGA-AO-A12A	0	2	0	1	10	0	0	0	0	0	0	1	0	4	0	0	1
BRCA_TCGA-AO-A12B	0	1	0	5	4	0	2	3	0	0	1	0	0	0	0	7	0
BRCA_TCGA-AO-A12D	0	0	9	5	5	0	0	0	0	0	8	1	13	26	0	0	6
BRCA_TCGA-AO-A12E	0	4	2	4	6	0	0	0	0	0	2	2	3	2	0	6	2
BRCA_TCGA-AO-A12F	1	7	2	1	13	2	0	6	2	0	0	0	0	0	0	6	0
BRCA_TCGA-AO-A12G	0	1	0	10	0	4	0	0	0	5	3	0	3	8	0	4	4
BRCA_TCGA-AO-A12H	0	0	1	9	0	1	0	0	0	0	7	3	1	0	0	6	2
