Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
RNF168_0_multinomial_train1.17	0.7433543654989836	0.01183530832137246	0.047014940146125755	2.33e-321	0.19441941198683885	0.0033759740466792693
EXO1_0_multinomial_train1.13	0.868843069867075	5.63e-321	0.08777764242078404	5.95e-321	0.026813890593437355	0.01656539711870346
RNF168_0_multinomial_train1.18	0.7700989475563744	1.93e-321	4.926e-321	6.15e-321	0.1778741078308728	0.05202694461275288
EXO1_0_multinomial_train1.14	0.8776107170571416	0.0003758948058230113	0.11818761617792183	5.326e-321	9.723064e-318	0.0038257719591136405
RNF168_0_multinomial_train1.19	0.9586929547947285	1.253e-320	7.24e-321	4.09e-321	0.01620150320805954	0.025105541997211916
RNF168_0_multinomial_train1.20	0.8890149845471157	3.957e-321	0.10053287678840207	7.07e-322	0.010452138664482212	3.9e-322
EXO1_0_multinomial_train1.15	0.8670819044766073	1.0897104650179144e-152	0.1298148722525623	4.876e-321	0.0031032232708303863	4.876e-321
RNF168_0_multinomial_train1.21	0.7602637817219501	0.006759774834586431	0.08333709085805639	1.54e-321	0.09757684836446266	0.05206250422094442
RNF168_0_multinomial_train1.22	0.6488899897163368	0.04214003993615116	0.07956968554780718	1.79e-321	0.20077856935401736	0.02862171544568752
EXO1_0_multinomial_train1.16	0.8227940578356394	0.012241662132800313	0.1649642800315604	1.64e-321	3.266e-321	6.8e-322
EXO1_0_multinomial_train1.17	0.8949318986344618	0.02017447285442726	0.07380362113959452	2.154e-321	0.011090007371516402	8.9e-322
RNF168_0_multinomial_train1.23	0.9165894389928053	6.49e-321	1.393495698774314e-172	1.487e-321	0.06823329441583482	0.015177266591359812
EXO1_0_multinomial_train1.18	0.7976893157890225	0.018231827260489355	0.17926277596400245	3.85e-321	0.0048160809864856565	1.374e-321
RNF168_0_multinomial_train1.24	0.8955040838396278	2.945e-321	2.82e-321	1.0993e-320	0.10351175066533946	0.0009841654950327437
RNF168_0_multinomial_train1.25	0.8574257256420665	3.236e-321	1.1032e-320	1.0227e-320	0.14088776718067209	0.001686507177261393
RNF168_0_multinomial_train1.26	0.9008651169964422	1.645e-321	0.06886332598059579	5.720394003222991e-233	0.030271557022962182	7.48e-321
RNF168_0_multinomial_train1.27	0.6724705491295718	2.98e-321	0.059464181104431905	0.22010574470545743	0.04795952506053894	4.046e-321
RNF168_0_multinomial_train1.28	0.9002080249604569	0.0005492413516946122	0.02915425005890423	1.161e-320	0.0670018712568088	0.0030866123721353827
EXO1_0_multinomial_train1.19	0.8249947978130826	0.04414780036028452	0.10148237996384164	2.717e-321	0.029375021862791117	9e-322
RNF168_0_multinomial_train1.29	0.8627600255840036	8.090267811637465e-227	0.09170838802544916	3.04e-321	0.04553158639054719	2.64e-321
EXO1_0_multinomial_train1.20	0.8471882081090506	0.009000650983308205	0.12428845339291558	3.603784941959083e-133	0.01937252019237013	0.0001501673223554917
RNF168_0_multinomial_train1.30	0.8409199917660434	3.394e-321	0.046448620055770724	0.08903724385353617	0.023594144324649687	3.9279541121197495e-27
RNF168_0_multinomial_train1.31	0.8425421048169808	9.54e-321	0.035187457143261096	0.04172238154232974	0.08054805649742831	7.06e-321
RNF168_0_multinomial_train1.32	0.8782394493924514	5.86e-321	3.715e-321	1.73e-321	0.10335683384172414	0.01840371676582462
RNF168_0_multinomial_train1.33	0.7490595126515375	9.7e-322	0.08158750867366969	0.0013690829786243608	0.16396059366269558	0.004023302033472923
EXO1_0_multinomial_train1.21	0.8620249982978353	7.44e-321	0.13797500170216473	2.283e-321	3.424e-321	1.655e-321
