Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
MSH6_0_multinomial_train1.32	9.73E-02	1.55E-01	1.18E-03	8.37E-02	1.68E-01	1.59E-01	1.00E-01	8.72E-02
MSH6_1_multinomial_train1.38	1.05E-01	1.68E-01	1.58E-03	9.20E-02	1.79E-01	1.72E-01	1.08E-01	8.73E-02
MSH6_0_multinomial_train1.33	1.03E-01	1.64E-01	4.45E-84	8.96E-02	1.75E-01	1.69E-01	1.06E-01	8.69E-02
MSH6_0_multinomial_train1.34	9.78E-02	1.54E-01	2.53E-03	8.28E-02	1.64E-01	1.56E-01	9.91E-02	8.82E-02
MSH6_0_multinomial_train1.35	9.85E-02	1.57E-01	8.57E-04	8.53E-02	1.70E-01	1.61E-01	1.02E-01	8.69E-02
MSH6_0_multinomial_train1.36	1.02E-01	1.64E-01	1.66E-03	8.98E-02	1.75E-01	1.68E-01	1.05E-01	8.77E-02
MSH6_1_multinomial_train1.39	1.03E-01	1.64E-01	4.66E-03	9.02E-02	1.75E-01	1.68E-01	1.04E-01	8.62E-02
MSH6_0_multinomial_train1.37	9.97E-02	1.60E-01	6.29E-04	8.65E-02	1.73E-01	1.64E-01	1.04E-01	8.79E-02
MSH6_0_multinomial_train1.38	1.03E-01	1.63E-01	1.70E-75	8.87E-02	1.75E-01	1.68E-01	1.05E-01	8.76E-02
MSH6_0_multinomial_train1.39	9.81E-02	1.56E-01	1.70E-03	8.40E-02	1.68E-01	1.59E-01	1.01E-01	8.81E-02
MSH6_0_multinomial_train1.40	9.67E-02	1.55E-01	8.11E-04	8.44E-02	1.68E-01	1.58E-01	1.01E-01	8.71E-02
MSH6_0_multinomial_train1.41	1.01E-01	1.62E-01	7.69E-04	8.88E-02	1.74E-01	1.66E-01	1.05E-01	8.73E-02
MSH6_1_multinomial_train1.40	1.03E-01	1.64E-01	5.41E-03	9.01E-02	1.74E-01	1.68E-01	1.04E-01	8.58E-02
MSH6_0_multinomial_train1.42	9.95E-02	1.60E-01	1.32E-35	8.73E-02	1.72E-01	1.63E-01	1.05E-01	8.74E-02
MSH6_0_multinomial_train1.43	9.97E-02	1.59E-01	2.84E-40	8.58E-02	1.71E-01	1.63E-01	1.03E-01	8.81E-02
MSH6_1_multinomial_train1.41	1.02E-01	1.63E-01	9.25E-04	8.84E-02	1.74E-01	1.67E-01	1.04E-01	8.70E-02
MSH6_0_multinomial_train1.44	9.96E-02	1.59E-01	2.31E-92	8.63E-02	1.72E-01	1.63E-01	1.03E-01	8.72E-02
MSH6_1_multinomial_train1.42	1.02E-01	1.63E-01	3.10E-03	8.88E-02	1.74E-01	1.67E-01	1.04E-01	8.66E-02
MSH6_0_multinomial_train1.45	1.03E-01	1.64E-01	7.48E-151	8.91E-02	1.75E-01	1.68E-01	1.05E-01	8.73E-02
MSH6_0_multinomial_train1.46	9.94E-02	1.60E-01	1.81E-03	8.69E-02	1.72E-01	1.64E-01	1.04E-01	8.67E-02
MSH6_0_multinomial_train1.47	1.03E-01	1.64E-01	1.28E-03	8.97E-02	1.75E-01	1.68E-01	1.06E-01	8.75E-02
MSH6_0_multinomial_train1.48	1.02E-01	1.62E-01	6.78E-49	8.79E-02	1.75E-01	1.66E-01	1.06E-01	8.71E-02
MSH6_0_multinomial_train1.49	1.01E-01	1.63E-01	3.11E-07	8.93E-02	1.76E-01	1.67E-01	1.07E-01	8.80E-02
MSH6_0_multinomial_train1.50	1.02E-01	1.62E-01	3.07E-03	8.72E-02	1.73E-01	1.66E-01	1.03E-01	8.71E-02
MSH6_0_multinomial_train1.51	1.01E-01	1.61E-01	1.31E-03	8.83E-02	1.73E-01	1.65E-01	1.05E-01	8.70E-02
MSH6_0_multinomial_train1.52	1.02E-01	1.61E-01	2.08E-03	8.71E-02	1.71E-01	1.65E-01	1.04E-01	8.77E-02
MSH6_1_multinomial_train1.43	9.99E-02	1.56E-01	5.56E-03	8.45E-02	1.66E-01	1.60E-01	9.86E-02	8.73E-02
MSH6_0_multinomial_train1.53	1.01E-01	1.60E-01	2.39E-03	8.67E-02	1.72E-01	1.64E-01	1.03E-01	8.67E-02
PMS1_0_multinomial_train1	1.45E-01	7.78E-03	2.26E-02	1.40E-01	9.83E-03	1.64E-01	1.36E-01	1.43E-01
PMS1_0_multinomial_train1.1	1.46E-01	1.18E-02	1.75E-02	1.39E-01	1.08E-02	1.66E-01	1.39E-01	1.42E-01
PMS1_0_multinomial_train1.2	1.62E-01	5.59E-143	1.22E-02	1.62E-01	2.77E-85	1.94E-01	1.57E-01	1.61E-01
PMS1_0_multinomial_train1.3	1.67E-01	3.40E-25	1.16E-02	1.66E-01	2.91E-06	1.99E-01	1.62E-01	1.65E-01
PMS1_0_multinomial_train1.4	1.42E-01	1.14E-02	2.26E-02	1.42E-01	8.56E-03	1.74E-01	1.36E-01	1.40E-01
PMS1_0_multinomial_train1.5	1.56E-01	0.00E+00	1.09E-02	1.58E-01	4.35E-03	1.94E-01	1.50E-01	1.56E-01
PMS1_0_multinomial_train1.6	1.63E-01	7.42E-04	1.58E-02	1.62E-01	2.32E-06	1.89E-01	1.59E-01	1.62E-01
PMS1_0_multinomial_train1.7	1.60E-01	3.41E-141	9.36E-03	1.61E-01	6.95E-03	1.99E-01	1.53E-01	1.59E-01
PMS1_0_multinomial_train1.8	1.64E-01	5.27E-24	2.71E-02	1.63E-01	9.76E-148	1.89E-01	1.60E-01	1.62E-01
PMS1_0_multinomial_train1.9	1.59E-01	2.40E-16	1.79E-02	1.57E-01	3.38E-80	1.83E-01	1.55E-01	1.58E-01
PMS1_0_multinomial_train1.10	1.59E-01	5.11E-120	6.52E-03	1.59E-01	4.66E-03	1.97E-01	1.53E-01	1.58E-01
PMS1_0_multinomial_train1.11	1.57E-01	3.81E-03	8.21E-03	1.55E-01	5.59E-03	1.88E-01	1.50E-01	1.53E-01
PMS1_0_multinomial_train1.12	1.49E-01	1.21E-05	1.05E-02	1.48E-01	5.79E-03	1.79E-01	1.42E-01	1.46E-01
PMS1_0_multinomial_train1.13	1.44E-01	7.48E-03	5.71E-03	1.48E-01	1.14E-02	1.81E-01	1.43E-01	1.46E-01
