Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
PMS2_boot.6	9.94E-27	5.39E-02	2.30E-01	1.75E-01	1.73E-01	2.33E-02	1.67E-01	1.49E-01	1.29E-01
PMS2_boot.7	1.36E-01	5.45E-02	2.75E-02	8.69E-02	1.44E-26	1.49E-01	3.69E-02	2.83E-01	5.91E-02
PMS2_boot.8	3.20E-27	5.66E-02	2.29E-01	1.72E-01	9.61E-03	1.47E-01	1.42E-01	1.56E-01	1.30E-01
PMS2_boot.9	2.01E-02	5.24E-02	3.35E-03	4.94E-02	0.00E+00	0.00E+00	2.80E-02	7.40E-02	1.17E-01
PMS2_boot.10	1.19E-01	5.53E-02	1.77E-11	1.46E-27	1.00E-27	2.32E-01	9.94E-27	1.81E-01	1.15E-01
PMS2_boot.11	6.28E-02	5.14E-02	3.36E-27	2.82E-02	7.97E-03	9.90E-27	1.39E-01	1.91E-01	7.82E-02
PMS2_boot.12	2.05E-02	5.06E-02	5.25E-03	5.21E-02	3.26E-96	0.00E+00	2.60E-02	7.40E-02	1.21E-01
PMS2_boot.13	5.71E-02	5.55E-02	9.83E-27	2.58E-02	1.14E-01	1.31E-26	1.44E-01	2.28E-01	7.54E-02
PMS2_boot.14	1.24E-01	5.46E-02	7.10E-13	1.05E-27	4.94E-28	2.95E-01	9.94E-27	2.11E-01	1.12E-01
PMS2_boot.15	2.15E-02	4.89E-02	6.40E-03	5.55E-02	9.95E-27	0.00E+00	2.22E-02	7.58E-02	1.31E-01
PMS2_boot.16	2.02E-02	4.97E-02	5.12E-03	5.96E-02	9.96E-27	0.00E+00	2.10E-02	7.94E-02	1.35E-01
PMS2_boot.17	1.38E-01	8.80E-02	2.80E-02	8.88E-02	1.56E-26	2.00E-01	3.84E-02	2.48E-01	1.06E-01
PMS2_boot.18	1.34E-01	5.65E-02	1.58E-02	8.88E-02	1.45E-26	1.98E-01	3.08E-02	2.49E-01	5.53E-02
