Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
UCEC_TCGA-AX-A0IS	2.14E+00	6.71E-01	1.53E+00	3.48E-01	7.67E-01	0.00E+00	1.83E+00	6.90E-01	1.18E+00	6.16E-01	2.00E-01	2.30E+00	7.33E-01	4.47E-01
UCEC_TCGA-AX-A0IU	1.21E+00	5.54E-01	1.55E+00	6.33E-01	5.33E-01	6.23E-01	7.86E-01	9.36E-01	1.49E+00	5.00E-01	1.49E+00	1.28E+00	1.20E+00	0.00E+00
UCEC_TCGA-AX-A0J0	2.01E+01	2.95E+02	4.54E+01	9.03E+01	8.37E+00	3.75E+01	3.59E+02	1.99E+01	6.98E+01	1.46E+01	5.60E+00	1.57E+00	9.00E-01	1.22E+01
UCEC_TCGA-AX-A1C4	2.12E+01	1.61E+00	1.61E+01	4.61E+00	1.62E+01	2.20E+01	1.76E+00	4.57E+00	1.02E+01	1.52E+01	8.50E+00	2.74E+00	1.03E+00	1.24E+00
UCEC_TCGA-AX-A1C5	4.06E+01	6.86E-01	2.64E+01	1.12E+01	1.13E+01	1.34E+01	1.51E+00	3.95E+00	2.25E+01	1.49E+01	5.55E+00	1.74E+00	7.31E-01	9.87E-01
UCEC_TCGA-AX-A1C7	1.33E+00	0.00E+00	1.32E+00	8.62E-01	1.00E+00	1.28E+00	4.73E-01	6.36E-01	2.03E+00	1.31E+00	2.01E+00	2.12E+00	3.65E-01	7.92E-01
UCEC_TCGA-AX-A1C8	1.59E+00	1.35E+00	4.71E-01	6.90E-01	1.35E+00	0.00E+00	6.01E-01	2.49E+00	4.99E-01	1.36E+00	1.80E+00	2.10E+00	2.00E+00	0.00E+00
UCEC_TCGA-AX-A1C9	5.38E+01	7.86E-01	3.90E+01	1.60E+01	7.54E+00	7.96E+00	2.77E+00	5.10E+00	2.82E+01	6.40E+00	9.17E-01	2.14E+00	6.80E-01	1.68E+00
UCEC_TCGA-AX-A1CA	3.03E+00	3.59E-01	1.68E+00	5.39E-01	6.90E-01	1.31E+00	1.80E+00	8.85E-01	2.80E+00	1.15E+00	1.43E+00	3.27E+00	3.16E+00	4.33E-01
UCEC_TCGA-AX-A1CC	7.02E-01	0.00E+00	8.19E-01	0.00E+00	4.07E-01	3.00E-01	8.03E-01	5.43E-01	9.78E-01	0.00E+00	8.06E-01	6.80E-01	7.52E-01	0.00E+00
UCEC_TCGA-AX-A1CE	1.90E+02	8.05E+01	1.58E+02	3.78E+01	6.95E+01	3.90E+02	3.09E+01	7.48E+01	4.97E+02	4.09E+01	1.96E+02	3.95E+00	2.19E+00	1.85E+01
UCEC_TCGA-AX-A1CF	8.70E-01	5.73E-01	4.00E-01	7.95E-01	1.51E+00	2.00E-01	2.32E+00	5.58E-01	2.37E+00	1.34E+00	1.90E+00	2.92E+00	1.29E+00	7.00E-01
UCEC_TCGA-AX-A1CI	1.55E+00	4.73E-01	7.78E-01	7.15E-01	1.07E+00	7.00E-01	5.63E-01	6.84E-01	1.10E+00	0.00E+00	1.28E+00	2.06E+00	5.17E-01	0.00E+00
UCEC_TCGA-AX-A1CJ	2.07E+00	6.32E-01	9.09E-01	8.09E-01	2.16E+00	0.00E+00	4.00E-01	3.35E-01	2.13E+00	5.33E-01	2.42E+00	1.65E+00	1.01E+00	0.00E+00
UCEC_TCGA-AX-A1CK	1.37E+00	2.13E-01	1.28E+00	9.57E-01	8.00E-01	1.00E-01	1.09E+00	2.00E-01	1.76E+00	0.00E+00	2.28E+00	2.38E+00	4.00E-01	2.91E-01
UCEC_TCGA-AX-A1CN	1.32E+00	0.00E+00	1.02E+00	5.33E-01	3.96E-01	0.00E+00	9.33E-01	0.00E+00	1.42E+00	1.18E+00	1.50E+00	1.72E+00	2.13E-01	0.00E+00
UCEC_TCGA-AX-A1CP	1.47E+00	0.00E+00	8.44E-01	7.33E-01	0.00E+00	0.00E+00	1.40E+00	0.00E+00	8.94E-01	7.86E-01	6.19E-01	1.38E+00	4.22E-01	0.00E+00
UCEC_TCGA-AX-A2H2	2.68E+00	9.52E-01	1.55E+00	1.05E+00	3.94E-01	6.57E-01	2.07E+00	1.02E+00	4.21E+00	1.57E+00	1.84E+00	3.43E+00	5.07E+00	9.19E-01
UCEC_TCGA-AX-A2H4	1.96E+00	7.90E-01	1.24E+00	1.22E+00	1.07E+00	1.36E+00	2.02E+00	1.27E+00	2.59E+00	1.78E+00	2.41E+00	4.43E+00	2.16E+00	1.22E+00
UCEC_TCGA-AX-A2H5	1.67E+00	3.06E-01	1.39E+00	0.00E+00	2.21E-01	5.00E-01	2.13E-01	3.42E-01	6.74E-01	0.00E+00	8.33E-01	7.57E-01	1.12E+00	7.22E-01
UCEC_TCGA-AX-A2H7	1.95E+00	8.06E-01	1.41E+00	6.19E-01	4.00E-01	1.41E+00	1.63E+00	2.91E-01	9.80E-01	1.56E+00	2.10E+00	1.59E+00	1.66E+00	6.32E-01
UCEC_TCGA-AX-A2H8	1.56E+00	0.00E+00	1.32E+00	6.86E-01	1.24E+00	0.00E+00	1.87E+00	8.41E-01	8.75E-01	0.00E+00	1.20E+00	2.13E+00	8.83E-01	5.42E-01
UCEC_TCGA-AX-A2HA	4.50E+01	1.38E+00	2.77E+01	1.03E+01	3.00E+01	3.12E+01	1.58E+00	6.29E+00	2.43E+01	3.59E+01	4.66E+00	4.78E+00	6.71E-01	2.27E+00
UCEC_TCGA-AX-A2HC	1.35E+02	2.40E+02	1.32E+02	1.89E+02	1.36E+01	4.35E+02	1.42E+02	0.00E+00	7.49E+02	3.20E+00	8.50E+01	1.07E+01	2.49E+00	1.64E+01
UCEC_TCGA-AX-A2HD	1.80E+02	6.56E+01	1.08E+02	4.40E+01	6.43E+01	2.57E+02	2.55E+01	1.56E+01	3.47E+02	1.75E+01	1.50E+02	4.99E-01	1.19E+00	1.11E+01
UCEC_TCGA-AX-A2HF	3.00E-01	2.00E-01	4.58E-01	0.00E+00	3.42E-01	2.13E-01	6.46E-01	0.00E+00	4.01E-01	1.05E+00	9.94E-01	1.09E+00	9.78E-01	0.00E+00
UCEC_TCGA-AX-A2HG	1.51E+01	1.33E+00	1.05E+01	5.37E+00	1.56E+01	1.63E+01	4.06E+00	5.63E+00	1.01E+01	1.83E+01	3.39E+00	5.62E+00	1.03E+00	1.32E+00
UCEC_TCGA-AX-A2HH	1.80E+00	5.39E-01	1.29E+00	5.39E-01	0.00E+00	7.72E-01	1.71E+00	7.95E-01	8.95E-01	7.86E-01	1.59E+00	1.25E+00	7.16E-01	5.21E-01
UCEC_TCGA-AX-A2HJ	1.05E+01	1.69E+00	1.00E+01	4.90E+00	1.88E+01	2.21E+01	2.40E+00	2.60E+01	3.33E+01	2.72E+01	7.62E+00	4.62E+00	0.00E+00	1.87E+00
UCEC_TCGA-AX-A2HK	1.42E+00	1.63E-01	8.79E-01	1.06E+00	1.22E+00	7.22E-01	9.33E-01	2.00E-01	2.47E+00	1.20E+00	1.39E+00	1.45E+00	1.38E+00	2.21E-01
UCEC_TCGA-AX-A2IN	1.12E+01	1.96E+00	9.38E+00	3.28E+00	1.06E+01	9.50E+00	1.43E+00	3.75E+00	6.57E+00	1.03E+01	2.91E+00	3.41E+00	4.16E-01	1.22E+00
UCEC_TCGA-AX-A2IO	1.28E+00	5.47E-01	1.49E+00	2.12E+00	1.91E+00	0.00E+00	6.55E+00	2.00E-01	7.57E+00	2.60E-01	1.32E+00	2.82E+00	1.08E+01	7.27E-01
UCEC_TCGA-AX-A3FS	1.72E+01	1.12E+00	1.38E+01	5.02E+00	1.26E+01	2.13E+01	1.05E+00	5.32E+00	9.93E+00	1.75E+01	7.06E+00	2.32E+00	9.40E-01	1.27E+00
UCEC_TCGA-AX-A3FT	4.47E+01	3.53E+00	3.58E+01	1.10E+01	2.36E+01	2.11E+01	1.96E+00	6.92E+00	2.57E+01	2.20E+01	9.47E+00	4.92E+00	4.23E-01	2.54E+00
UCEC_TCGA-AX-A3FV	8.95E-01	5.39E-01	1.05E+00	7.90E-01	6.99E-01	2.09E+00	1.20E+00	1.76E+00	2.28E+00	2.65E+00	1.38E+00	2.73E+00	1.63E+00	1.32E+00
UCEC_TCGA-AX-A3FW	1.36E+00	5.17E-01	1.90E+00	1.03E+00	8.46E-01	4.58E-01	1.96E+00	8.41E-01	2.12E+00	0.00E+00	1.09E+00	2.51E+00	0.00E+00	4.16E-01
UCEC_TCGA-AX-A3FX	1.21E+00	1.06E+00	9.66E-01	1.11E+00	3.96E-01	0.00E+00	1.16E+00	1.25E+00	1.44E+00	1.79E+00	2.19E+00	2.48E+00	1.40E+00	4.00E-01
UCEC_TCGA-AX-A3FZ	1.71E+00	7.06E-01	1.66E+00	6.67E-01	0.00E+00	5.33E-01	9.07E-01	7.22E-01	1.27E+00	0.00E+00	1.43E+00	1.34E+00	9.17E-01	7.60E-01
UCEC_TCGA-AX-A3G1	1.87E+00	5.12E-01	1.27E+00	5.54E-01	1.04E+00	1.03E+00	6.00E-01	9.43E-01	6.70E-01	1.01E+00	1.56E+00	1.47E+00	4.33E-01	6.50E-01
