Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
OGG1_boot.125	8.29E-02	1.08E-01	2.50E-02	0.00E+00	1.04E-01	7.39E-02
OGG1_boot.126	5.17E-02	5.76E-02	9.44E-03	9.30E-02	9.68E-02	8.26E-02
OGG1_boot.127	7.64E-02	1.04E-01	2.44E-02	0.00E+00	9.90E-02	7.33E-02
OGG1_boot.128	8.74E-02	1.11E-01	2.40E-02	0.00E+00	1.10E-01	7.79E-02
OGG1_boot.129	5.04E-02	5.73E-02	1.21E-02	7.38E-02	9.40E-02	7.96E-02
OGG1_boot.130	5.11E-02	5.69E-02	1.10E-02	9.23E-02	9.31E-02	7.99E-02
OGG1_boot.131	6.27E-02	1.06E-01	2.39E-02	0.00E+00	1.00E-01	7.20E-02
OGG1_boot.132	6.36E-02	1.12E-01	2.44E-02	0.00E+00	9.76E-02	7.32E-02
OGG1_boot.133	8.42E-02	1.13E-01	2.31E-02	0.00E+00	1.10E-01	7.76E-02
OGG1_boot.134	5.24E-02	5.75E-02	9.46E-03	1.09E-01	9.60E-02	8.19E-02
OGG1_boot.135	9.63E-02	1.09E-01	2.27E-02	3.69E-28	1.67E-01	8.03E-02
OGG1_boot.136	9.43E-02	1.10E-01	2.35E-02	1.15E-117	9.48E-02	8.06E-02
OGG1_boot.137	7.64E-02	5.95E-02	5.94E-03	1.29E-01	1.21E-01	8.71E-02
OGG1_boot.138	4.79E-02	5.71E-02	9.12E-03	1.02E-01	1.04E-01	8.21E-02
OGG1_real	5.48E-02	5.59E-02	9.66E-03	1.05E-01	9.41E-02	8.23E-02
OGG1_real.1	6.71E-02	1.05E-01	2.20E-02	8.21E-40	1.35E-01	7.73E-02
OGG1_real.2	5.02E-02	5.69E-02	1.07E-02	9.97E-02	9.31E-02	7.99E-02
UNG_boot	2.16E-02	9.06E-02	8.08E-02	2.50E-03	9.38E-02	5.38E-02
UNG_boot.1	2.40E-02	5.65E-02	6.84E-02	1.16E-01	9.79E-02	2.27E-02
UNG_boot.2	3.17E-02	9.15E-02	7.65E-02	4.75E-68	1.03E-01	5.72E-02
UNG_boot.3	2.91E-02	8.47E-02	7.63E-02	0.00E+00	9.43E-02	5.27E-02
UNG_boot.4	2.52E-02	5.34E-02	6.45E-02	1.12E-01	9.36E-02	2.28E-02
UNG_boot.5	2.82E-02	4.99E-02	5.79E-02	1.02E-01	9.14E-02	3.17E-02
UNG_boot.6	2.91E-02	5.01E-02	5.48E-02	1.00E-01	9.42E-02	3.21E-02
UNG_boot.7	1.78E-02	8.94E-02	7.97E-02	2.13E-154	9.50E-02	5.20E-02
UNG_boot.8	2.81E-02	8.00E-02	7.77E-02	0.00E+00	9.39E-02	5.71E-02
UNG_boot.9	3.54E-02	9.33E-02	7.44E-02	2.31E-03	1.04E-01	5.75E-02
UNG_boot.10	3.37E-02	4.92E-02	5.49E-02	9.15E-02	9.48E-02	3.43E-02
UNG_boot.11	3.24E-02	9.10E-02	7.68E-02	6.50E-131	1.03E-01	5.85E-02
