Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R
BRCA_TCGA-AC-A3YJ	1	3	0	4	4	0	0	0	0	2	0	1	10	2	7	0	0	4
BRCA_TCGA-AC-A4ZE	0	5	2	5	6	10	2	0	0	0	0	8	1	5	9	0	12	9
BRCA_TCGA-AC-A5EH	6	3	4	20	1	5	2	2	13	1	13	16	14	22	16	6	40	21
BRCA_TCGA-AC-A5EI	0	2	3	1	6	0	0	0	0	2	0	2	5	5	10	0	0	7
BRCA_TCGA-AC-A5XS	14	0	47	14	1	5	2	0	0	0	0	0	11	390	231	0	0	0
BRCA_TCGA-AC-A5XU	1	13	2	18	13	0	4	2	4	4	0	0	2	6	30	0	14	0
BRCA_TCGA-AC-A62V	6	20	3	18	8	2	1	0	9	2	0	1	12	7	6	0	3	8
BRCA_TCGA-AC-A62X	6	12	1	26	14	0	2	0	1	6	0	0	7	2	6	2	2	0
BRCA_TCGA-AC-A62Y	0	4	2	2	9	0	0	0	5	2	7	6	4	24	11	2	3	8
BRCA_TCGA-AC-A6IV	0	1	4	2	2	1	2	0	1	0	0	1	5	0	0	0	4	4
BRCA_TCGA-AC-A6IW	0	12	5	20	5	5	2	1	5	1	0	7	30	89	12	5	17	15
BRCA_TCGA-AC-A6IX	0	4	1	2	5	4	0	0	0	0	0	5	6	18	24	0	0	2
BRCA_TCGA-AC-A6NO	0	2	2	0	8	10	0	0	0	1	0	4	0	2	4	0	10	0
BRCA_TCGA-AC-A7VB	0	5	1	4	6	5	0	0	0	0	0	4	6	0	0	0	4	0
BRCA_TCGA-AC-A7VC	0	2	3	2	4	2	0	0	2	1	0	1	3	0	0	0	4	2
BRCA_TCGA-AC-A8OP	9	14	13	21	15	4	13	6	18	8	21	9	10	23	14	2	25	19
BRCA_TCGA-AC-A8OQ	1	9	10	0	19	11	2	2	0	3	4	0	11	14	16	6	21	8
BRCA_TCGA-AC-A8OR	0	4	0	5	0	2	0	0	1	0	6	1	3	1	0	1	2	6
BRCA_TCGA-AC-A8OS	0	0	1	5	8	0	0	1	5	2	0	7	6	11	15	4	6	8
BRCA_TCGA-AN-A0XL	3	0	1	6	4	2	4	0	0	2	0	3	4	0	5	0	6	0
BRCA_TCGA-AN-A0XN	6	7	4	0	5	1	6	0	15	13	5	8	12	18	2	10	47	16
BRCA_TCGA-AN-A0XO	0	2	5	0	2	2	0	1	0	3	0	4	0	5	13	0	3	3
BRCA_TCGA-AN-A0XP	1	2	1	4	1	2	0	0	1	6	3	0	1	5	1	2	0	4
BRCA_TCGA-AN-A0XR	0	1	0	3	4	5	0	0	1	0	1	0	6	6	2	0	5	4
BRCA_TCGA-AN-A0XS	0	1	3	3	1	6	0	0	0	0	1	0	2	5	1	0	4	5
BRCA_TCGA-AN-A0XT	0	2	1	0	6	0	0	0	2	1	3	0	6	1	0	0	0	0
BRCA_TCGA-AN-A0XU	11	0	4	1	9	3	4	2	5	0	4	10	15	21	0	0	28	20
BRCA_TCGA-AN-A0XV	0	6	4	4	1	0	0	0	4	4	1	1	3	6	0	0	5	5
BRCA_TCGA-AN-A0XW	5	2	9	4	3	0	2	1	3	0	0	0	3	335	54	2	0	0
BRCA_TCGA-AO-A03M	17	0	54	0	11	1	0	0	0	0	0	1	0	868	198	0	0	0
BRCA_TCGA-AO-A03N	4	4	6	5	6	0	5	1	7	0	0	0	0	53	41	0	2	0
BRCA_TCGA-AO-A03U	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	2	0
BRCA_TCGA-AO-A03V	1	0	4	5	5	8	0	3	0	0	2	1	6	12	12	2	9	2
BRCA_TCGA-AO-A0JG	3	0	0	0	0	3	2	0	0	0	0	1	1	0	3	2	2	4
BRCA_TCGA-AO-A124	7	5	5	12	6	2	0	3	15	0	2	14	14	8	13	6	47	19
BRCA_TCGA-AO-A125	1	2	4	8	4	0	4	0	4	0	0	1	7	3	0	0	0	7
BRCA_TCGA-AO-A126	0	0	3	0	6	0	0	0	1	0	0	3	0	3	2	0	4	3
BRCA_TCGA-AO-A128	2	137	30	138	168	108	127	0	63	121	3	268	0	23	1	21	0	0
BRCA_TCGA-AO-A129	2	4	2	0	8	0	6	2	7	4	10	9	6	33	7	6	27	11
BRCA_TCGA-AO-A12A	0	2	0	6	1	0	0	0	0	0	0	0	1	2	3	0	0	4
BRCA_TCGA-AO-A12B	0	1	0	4	4	0	2	2	0	0	0	0	0	1	1	0	0	8
BRCA_TCGA-AO-A12D	0	0	8	6	5	0	0	0	1	0	0	1	5	17	26	0	4	0
BRCA_TCGA-AO-A12E	0	4	2	5	4	1	0	0	1	0	0	1	2	1	4	0	2	6
BRCA_TCGA-AO-A12F	1	8	2	9	1	0	0	5	3	0	3	0	1	0	0	0	0	7
BRCA_TCGA-AO-A12G	0	2	1	0	8	1	0	0	5	5	0	0	2	5	7	0	4	2
BRCA_TCGA-AO-A12H	0	1	2	0	7	5	0	0	0	0	0	3	1	0	4	0	4	3
BRCA_TCGA-AO-A1KO	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	5
BRCA_TCGA-AO-A1KR	1	0	3	9	3	0	0	0	10	2	3	9	5	13	1	0	23	7
BRCA_TCGA-AO-A1KT	0	2	3	7	4	0	2	0	3	7	0	3	1	1	3	0	4	11
BRCA_TCGA-AQ-A04H	3	10	5	6	19	3	0	0	3	7	0	0	6	6	0	2	10	1
BRCA_TCGA-AQ-A0Y5	0	6	6	7	9	2	2	0	0	3	0	2	2	15	6	1	7	2
BRCA_TCGA-AQ-A1H2	0	3	3	3	7	0	0	0	3	1	0	2	0	1	2	2	2	5
BRCA_TCGA-AQ-A1H3	0	3	0	8	8	0	0	0	0	1	0	0	3	0	0	2	0	2
BRCA_TCGA-AQ-A54O	1	1	0	5	1	0	0	0	5	0	0	1	0	2	2	2	2	3
BRCA_TCGA-AQ-A7U7	0	4	8	0	5	4	0	0	3	0	0	2	1	46	17	2	3	1
BRCA_TCGA-AR-A0TP	0	0	1	0	3	0	1	0	8	3	8	7	2	7	3	2	18	8
BRCA_TCGA-AR-A0TQ	1	1	1	9	2	3	0	0	2	0	1	1	0	5	17	1	3	2
BRCA_TCGA-AR-A0TR	0	1	2	13	0	4	0	0	4	1	0	5	2	1	2	0	0	7
BRCA_TCGA-AR-A0TS	1	4	0	14	1	0	5	0	2	0	4	3	11	12	4	3	12	14
