Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
BRCA_TCGA-A2-A0T3	9.10E-01	1.44E+00	1.13E+00	5.17E-01	3.27E-01	8.97E-01	3.48E-01	7.12E-01	8.16E-01	7.12E-01	0.00E+00
BRCA_TCGA-A2-A0T4	0.00E+00	1.05E+00	9.12E-01	8.47E-01	0.00E+00	8.72E-01	6.86E-01	0.00E+00	1.65E+00	1.12E+00	0.00E+00
BRCA_TCGA-A2-A0T5	0.00E+00	8.27E-01	0.00E+00	0.00E+00	3.27E-01	4.27E-01	0.00E+00	0.00E+00	5.93E-01	2.67E-01	4.33E-01
BRCA_TCGA-A2-A0T6	0.00E+00	1.73E+00	0.00E+00	2.67E-01	6.18E-01	1.23E+00	0.00E+00	2.67E-01	8.69E-01	5.47E-01	0.00E+00
BRCA_TCGA-A2-A0T7	0.00E+00	6.99E-01	0.00E+00	0.00E+00	5.96E-01	7.75E-01	4.82E-01	2.21E-01	9.36E-01	5.62E-01	6.50E-01
BRCA_TCGA-A2-A0YC	0.00E+00	8.95E-01	8.57E-01	8.46E-01	1.00E-01	5.82E-01	8.06E-01	4.07E-01	9.83E-01	7.52E-01	0.00E+00
BRCA_TCGA-A2-A0YD	6.33E-01	1.48E+00	0.00E+00	7.06E-01	1.80E+00	1.45E+00	0.00E+00	6.46E-01	7.63E-01	2.17E+00	2.33E-01
BRCA_TCGA-A2-A0YE	6.46E-01	8.70E-01	4.90E-01	9.57E-01	7.72E-01	8.92E-01	1.00E-01	0.00E+00	1.17E+00	1.23E+00	0.00E+00
BRCA_TCGA-A2-A0YF	1.02E+00	1.34E+00	0.00E+00	5.04E-01	6.36E-01	1.03E+00	5.73E-01	9.71E-01	9.55E-01	7.75E-01	2.21E-01
BRCA_TCGA-A2-A0YG	4.82E-01	1.71E+00	1.31E+00	1.00E+00	5.54E-01	2.89E+00	1.04E+00	1.05E+00	1.19E+00	1.40E+00	2.13E-01
