Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
BRCA_TCGA-B6-A401	0	3	7	2	6	0	0	9	1	0
BRCA_TCGA-B6-A409	0	10	11	0	2	2	2	21	1	7
BRCA_TCGA-B6-A40B	0	4	11	2	6	0	2	23	0	18
BRCA_TCGA-B6-A40C	2	18	4	0	0	2	4	19	0	5
BRCA_TCGA-BH-A0AU	0	5	0	1	2	2	0	10	0	3
BRCA_TCGA-BH-A0AV	2	0	13	10	4	0	6	36	0	16
BRCA_TCGA-BH-A0AY	3	6	13	0	0	1	1	15	1	6
BRCA_TCGA-BH-A0AZ	2	2	0	9	0	0	1	32	2	22
BRCA_TCGA-BH-A0B0	4	0	20	0	6	0	0	0	6	63
BRCA_TCGA-BH-A0B3	1	4	0	0	1	2	0	7	0	3
BRCA_TCGA-BH-A0B6	22	0	142	0	13	0	0	0	13	1100
BRCA_TCGA-BH-A0B7	0	6	11	0	4	0	0	5	7	9
BRCA_TCGA-BH-A0B8	1	0	10	3	2	0	0	14	0	4
BRCA_TCGA-BH-A0BA	0	4	1	4	2	0	1	8	0	9
BRCA_TCGA-BH-A0BC	1	8	10	0	4	0	0	11	0	11
BRCA_TCGA-BH-A0BF	0	6	2	5	1	0	0	11	1	7
BRCA_TCGA-BH-A0BG	0	3	0	1	3	2	1	26	0	9
BRCA_TCGA-BH-A0BJ	0	0	4	0	2	1	1	9	0	0
BRCA_TCGA-BH-A0BL	6	11	2	0	1	0	2	44	0	3
BRCA_TCGA-BH-A0BM	1	0	3	0	1	1	0	10	0	3
BRCA_TCGA-BH-A0BO	0	5	4	9	0	0	4	3	2	4
BRCA_TCGA-BH-A0BP	6	16	45	1	8	3	0	65	0	52
BRCA_TCGA-BH-A0BQ	2	6	5	4	1	0	0	10	0	2
BRCA_TCGA-BH-A0BS	0	3	4	3	0	0	2	10	0	1
BRCA_TCGA-BH-A0BT	2	6	11	0	8	0	3	12	0	6
BRCA_TCGA-BH-A0BV	0	0	11	0	2	0	0	7	0	4
BRCA_TCGA-BH-A0BW	0	10	2	18	0	0	7	46	3	17
BRCA_TCGA-BH-A0BZ	19	5	2	25	21	0	9	169	0	46
BRCA_TCGA-BH-A0C0	0	4	0	9	1	7	2	18	1	6
BRCA_TCGA-BH-A0C1	0	6	8	7	10	0	0	12	0	7
BRCA_TCGA-BH-A0C3	0	2	3	0	0	1	5	7	0	0
BRCA_TCGA-BH-A0C7	0	13	5	5	1	3	3	24	0	4
BRCA_TCGA-BH-A0DD	0	9	6	0	6	0	3	6	0	7
BRCA_TCGA-BH-A0DE	0	0	13	0	0	2	3	14	0	1
BRCA_TCGA-BH-A0DG	4	0	14	4	0	1	2	4	5	13
BRCA_TCGA-BH-A0DH	0	12	10	7	2	0	0	3	3	15
BRCA_TCGA-BH-A0DI	0	9	0	0	5	2	1	21	0	24
BRCA_TCGA-BH-A0DK	4	8	0	0	0	2	7	25	0	7
BRCA_TCGA-BH-A0DL	1	12	0	4	8	0	4	13	4	19
BRCA_TCGA-BH-A0DO	1	0	9	0	6	0	0	7	1	6
BRCA_TCGA-BH-A0DP	0	0	6	0	0	0	2	7	0	4
BRCA_TCGA-BH-A0DQ	0	7	7	2	1	1	6	10	0	1
BRCA_TCGA-BH-A0DT	0	4	1	2	0	0	0	4	0	4
BRCA_TCGA-BH-A0DV	0	0	1	1	0	0	2	8	0	3
BRCA_TCGA-BH-A0DX	2	9	3	0	0	0	1	19	0	43
BRCA_TCGA-BH-A0DZ	8	3	10	0	0	0	0	0	4	192
BRCA_TCGA-BH-A0E0	0	9	4	0	0	2	0	3	4	2
BRCA_TCGA-BH-A0E1	1	5	4	0	0	0	0	0	2	7
BRCA_TCGA-BH-A0E9	0	9	2	4	2	2	0	7	0	2
BRCA_TCGA-BH-A0EA	0	1	9	2	6	0	1	9	0	4
BRCA_TCGA-BH-A0EI	0	5	9	1	1	0	3	5	0	0
BRCA_TCGA-BH-A0H3	0	3	2	0	0	0	0	11	0	1
BRCA_TCGA-BH-A0H5	12	0	27	0	0	0	0	0	2	128
BRCA_TCGA-BH-A0H7	1	4	0	0	0	3	3	0	0	6
BRCA_TCGA-BH-A0H9	0	1	1	0	1	0	2	10	5	3
BRCA_TCGA-BH-A0HA	0	97	13	65	27	0	127	12	3	38
BRCA_TCGA-BH-A0HI	4	6	7	0	0	0	4	7	0	7
BRCA_TCGA-BH-A0HK	0	1	19	0	8	0	0	5	0	30
BRCA_TCGA-BH-A0HN	1	8	10	0	0	0	0	9	1	5
BRCA_TCGA-BH-A0HP	13	4	22	0	1	9	1	0	0	307
BRCA_TCGA-BH-A0RX	0	20	15	2	0	0	3	4	1	4
BRCA_TCGA-BH-A0W3	1	3	1	4	0	0	0	10	0	4
BRCA_TCGA-BH-A0W4	2	4	9	0	0	0	4	7	4	9
BRCA_TCGA-BH-A0W5	2	8	3	1	1	1	4	9	0	0
BRCA_TCGA-BH-A0W7	5	4	2	10	0	0	1	0	2	237
BRCA_TCGA-BH-A0WA	1	3	15	13	0	3	4	53	0	21
BRCA_TCGA-BH-A18F	4	6	28	0	0	2	1	9	0	17
BRCA_TCGA-BH-A18G	19	339	56	530	183	26	479	36	0	0
BRCA_TCGA-BH-A18H	0	0	16	5	3	0	6	12	1	11
BRCA_TCGA-BH-A18I	1	8	7	0	4	0	0	4	1	6
BRCA_TCGA-BH-A18J	2	2	0	4	6	1	5	7	0	84
BRCA_TCGA-BH-A18K	1	0	14	0	4	0	5	16	2	26
BRCA_TCGA-BH-A18L	1	14	10	0	7	6	4	19	0	4
BRCA_TCGA-BH-A18M	0	4	5	1	0	0	2	1	0	5
BRCA_TCGA-BH-A18N	0	11	0	0	5	0	8	18	0	1
BRCA_TCGA-BH-A18P	0	0	68	0	10	3	0	0	7	350
BRCA_TCGA-BH-A18Q	0	1	7	9	2	4	2	72	0	10
BRCA_TCGA-BH-A18R	2	2	4	3	0	0	2	21	0	8
BRCA_TCGA-BH-A18S	3	0	4	1	4	2	6	13	1	3
