Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
BRCA_TCGA-A2-A0CK	0	9	3	0	1	3	2	5	0	4
BRCA_TCGA-A2-A0CL	1	24	6	4	0	0	2	0	7	156
BRCA_TCGA-A2-A0CR	0	4	13	0	0	0	8	0	0	185
BRCA_TCGA-A2-A0CS	0	11	2	4	6	0	0	24	0	1
BRCA_TCGA-A2-A0CV	1	4	4	0	7	0	0	6	1	1
BRCA_TCGA-A2-A0CW	4	12	8	0	0	3	2	26	0	29
BRCA_TCGA-A2-A0D3	0	16	5	0	2	1	0	7	0	1
BRCA_TCGA-A2-A0EN	0	6	13	0	0	1	5	14	0	0
BRCA_TCGA-A2-A0EP	0	0	0	1	0	2	3	4	1	5
BRCA_TCGA-A2-A0ES	0	0	9	0	2	0	1	7	0	0
BRCA_TCGA-A2-A0EW	0	4	4	4	0	0	2	4	0	2
BRCA_TCGA-A2-A0ST	0	5	1	1	1	0	3	12	0	5
BRCA_TCGA-A2-A0SU	0	1	4	0	9	2	0	16	0	3
BRCA_TCGA-A2-A0SX	4	2	0	0	9	0	2	15	0	9
BRCA_TCGA-A2-A0SY	2	7	36	0	0	0	2	0	3	127
BRCA_TCGA-A2-A0T0	8	6	4	23	6	10	23	109	0	28
BRCA_TCGA-A2-A0T1	0	5	7	0	2	0	9	6	3	0
BRCA_TCGA-A2-A0T3	4	9	3	5	0	0	0	21	0	2
BRCA_TCGA-A2-A0T4	0	6	0	6	4	0	0	15	0	10
BRCA_TCGA-A2-A0T5	0	5	0	0	1	0	0	5	1	1
BRCA_TCGA-A2-A0T6	0	13	4	0	2	0	0	6	0	3
BRCA_TCGA-A2-A0T7	0	7	6	0	0	0	3	6	4	3
BRCA_TCGA-A2-A0YC	0	7	0	3	0	1	1	14	0	6
BRCA_TCGA-A2-A0YD	6	6	24	0	1	0	0	0	5	45
BRCA_TCGA-A2-A0YE	2	8	3	0	5	0	0	16	0	9
BRCA_TCGA-A2-A0YF	5	4	2	0	3	2	1	20	0	2
BRCA_TCGA-A2-A0YG	0	9	24	4	0	4	5	23	0	9
BRCA_TCGA-A2-A0YH	4	10	8	3	1	0	0	23	0	51
BRCA_TCGA-A2-A0YI	0	1	2	0	1	2	1	9	0	2
BRCA_TCGA-A2-A0YJ	4	21	5	16	0	0	3	37	5	7
BRCA_TCGA-A2-A0YK	17	9	0	1	0	0	4	0	0	447
BRCA_TCGA-A2-A0YL	0	1	7	1	1	0	2	5	0	26
BRCA_TCGA-A2-A0YM	2	21	10	0	5	0	6	24	1	40
BRCA_TCGA-A2-A0YT	5	8	19	0	12	0	0	13	5	19
BRCA_TCGA-A2-A1FV	0	9	8	0	3	0	5	16	0	9
BRCA_TCGA-A2-A1FW	6	16	18	4	3	2	6	33	0	7
BRCA_TCGA-A2-A1FX	4	3	5	0	3	0	0	12	0	1
BRCA_TCGA-A2-A1FZ	0	7	0	5	0	0	5	10	0	2
BRCA_TCGA-A2-A1G0	0	0	9	0	0	0	0	12	0	2
BRCA_TCGA-A2-A1G1	0	3	7	6	0	0	0	19	0	4
BRCA_TCGA-A2-A1G6	0	1	0	0	2	1	1	4	0	1
BRCA_TCGA-A2-A259	0	1	11	0	2	0	1	10	0	4
BRCA_TCGA-A2-A25A	2	7	4	1	2	9	2	18	0	84
BRCA_TCGA-A2-A25B	4	0	26	3	11	14	0	60	0	10
BRCA_TCGA-A2-A25C	3	0	2	0	0	8	10	13	0	3
BRCA_TCGA-A2-A25D	0	4	10	7	2	0	2	27	3	9
BRCA_TCGA-A2-A25E	3	3	6	8	3	0	6	24	0	8
BRCA_TCGA-A2-A25F	0	0	0	0	0	0	0	6	0	0
BRCA_TCGA-A2-A3KD	0	6	3	0	0	0	4	3	0	2
BRCA_TCGA-A2-A3XT	2	5	0	12	0	0	8	64	0	31
BRCA_TCGA-A2-A3XU	0	9	2	6	0	1	3	9	0	1
BRCA_TCGA-A2-A3XV	0	1	14	0	10	1	6	15	1	0
BRCA_TCGA-A2-A3XW	1	3	5	0	0	0	2	3	1	2
BRCA_TCGA-A2-A3XX	1	5	11	0	8	0	0	22	1	4
BRCA_TCGA-A2-A3XZ	0	8	12	2	0	0	0	4	1	25
