Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
BRCA_TCGA-A2-A1FV	0.00E+00	1.12E+00	2.01E+00	2.00E-01	1.28E+00	0.00E+00	1.03E+00	2.45E+00	6.00E-01	1.65E+00
BRCA_TCGA-A2-A1FW	1.19E+00	1.78E+00	3.46E+00	1.64E+00	1.49E+00	7.18E-01	1.32E+00	2.09E+00	6.46E-01	1.15E+00
BRCA_TCGA-A2-A1FX	5.12E-01	9.94E-01	8.27E-01	3.35E-01	1.02E+00	5.47E-01	4.47E-01	1.26E+00	2.67E-01	3.33E-01
BRCA_TCGA-A2-A1FZ	0.00E+00	9.78E-01	1.13E+00	1.16E+00	5.16E-01	0.00E+00	3.42E-01	8.46E-01	6.51E-01	6.46E-01
BRCA_TCGA-A2-A1G0	3.07E-01	3.06E-01	1.65E+00	0.00E+00	0.00E+00	4.00E-01	1.00E-01	1.80E+00	3.96E-01	7.42E-01
BRCA_TCGA-A2-A1G1	5.33E-01	7.22E-01	1.66E+00	1.05E+00	0.00E+00	5.54E-01	0.00E+00	1.33E+00	2.00E-01	6.96E-01
BRCA_TCGA-A2-A1G6	0.00E+00	2.13E-01	0.00E+00	0.00E+00	4.27E-01	4.99E-01	7.31E-01	7.33E-01	1.00E-01	3.48E-01
BRCA_TCGA-A2-A259	1.00E-01	7.48E-01	1.71E+00	0.00E+00	5.93E-01	0.00E+00	7.30E-01	1.04E+00	3.07E-01	8.54E-01
BRCA_TCGA-A2-A25A	9.19E-01	2.23E+00	1.50E+00	1.30E+00	9.24E-01	1.15E+00	4.16E-01	2.77E+00	5.00E-01	1.04E+00
BRCA_TCGA-A2-A25B	1.38E+00	5.97E-01	2.59E+00	0.00E+00	1.07E+00	1.69E+00	9.04E-01	3.13E+00	1.07E+00	7.90E-01
BRCA_TCGA-A2-A25C	2.69E-01	3.00E-01	1.46E+00	6.05E-01	0.00E+00	1.87E+00	8.62E-01	1.13E+00	0.00E+00	6.46E-01
BRCA_TCGA-A2-A25D	0.00E+00	1.39E+00	2.18E+00	1.54E+00	7.12E-01	4.00E-01	9.48E-01	1.87E+00	1.03E+00	7.64E-01
BRCA_TCGA-A2-A25E	5.93E-01	5.62E-01	1.36E+00	6.36E-01	1.05E+00	7.63E-01	2.02E+00	1.38E+00	7.34E-01	7.95E-01
BRCA_TCGA-A2-A25F	0.00E+00	0.00E+00	4.16E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.16E-01	0.00E+00	0.00E+00
BRCA_TCGA-A2-A3KD	0.00E+00	9.22E-01	1.38E+00	2.00E-01	2.13E-01	2.00E-01	6.46E-01	5.00E-01	3.00E-01	3.35E-01
BRCA_TCGA-A2-A3XT	6.50E-01	6.74E-01	1.92E+00	2.00E+00	8.54E-01	0.00E+00	2.34E+00	1.48E+00	8.36E-01	2.11E+00
BRCA_TCGA-A2-A3XU	0.00E+00	1.25E+00	6.29E-01	1.12E+00	1.33E-01	3.06E-01	6.18E-01	1.39E+00	0.00E+00	2.49E-01
BRCA_TCGA-A2-A3XV	0.00E+00	8.03E-01	2.13E+00	3.06E-01	1.24E+00	4.27E-01	8.57E-01	1.36E+00	7.18E-01	0.00E+00
