Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
ATP2B4_real.5	2.34E-04	2.62E-03	0.00E+00	1.16E-02	1.26E-03	4.55E-04	1.34E-03	1.42E-02
EXO1_boot	4.96E-04	2.57E-04	4.04E-04	3.10E-04	3.05E-04	6.06E-04	1.30E-03	2.31E-03
EXO1_boot.1	6.28E-04	5.84E-04	2.17E-04	1.23E-03	2.15E-04	6.01E-04	1.35E-03	1.97E-03
EXO1_boot.2	5.98E-04	1.32E-04	4.23E-04	4.14E-04	3.40E-04	5.22E-04	1.29E-03	2.77E-03
EXO1_boot.3	2.71E-04	5.46E-04	2.82E-04	5.82E-04	3.86E-04	5.51E-04	9.37E-04	1.84E-03
EXO1_boot.4	5.84E-04	5.12E-04	2.06E-04	0.00E+00	3.59E-04	7.76E-04	2.19E-03	4.47E-03
EXO1_boot.5	7.36E-04	1.82E-03	1.14E-04	1.86E-03	1.14E-04	8.54E-04	1.81E-03	3.40E-03
EXO1_boot.6	4.83E-04	3.37E-04	3.52E-04	2.31E-04	4.05E-131	8.64E-04	1.05E-03	2.39E-03
EXO1_boot.7	1.81E-04	9.25E-04	1.66E-04	6.45E-04	3.74E-04	3.31E-04	9.91E-04	1.44E-03
EXO1_boot.8	5.88E-04	1.04E-03	4.01E-04	2.08E-03	4.53E-04	5.60E-04	8.93E-04	1.08E-03
EXO1_boot.9	6.77E-04	5.99E-04	2.05E-04	2.16E-118	2.82E-04	7.38E-04	1.87E-03	3.94E-03
EXO1_boot.10	4.24E-04	4.51E-04	2.62E-04	3.66E-04	2.04E-04	5.69E-04	1.18E-03	2.42E-03
EXO1_boot.11	7.35E-04	1.89E-03	1.91E-04	2.18E-03	1.29E-56	8.45E-04	1.90E-03	3.15E-03
EXO1_boot.12	5.10E-04	5.05E-04	2.60E-04	2.05E-105	3.31E-04	7.76E-04	1.81E-03	3.76E-03
EXO1_boot.13	5.18E-04	3.86E-04	4.55E-04	7.44E-04	3.77E-04	4.90E-04	9.52E-04	2.20E-03
EXO1_boot.14	3.00E-04	1.01E-03	2.88E-04	1.50E-03	4.05E-04	4.90E-04	1.20E-03	2.61E-03
EXO1_boot.15	6.28E-04	5.74E-04	4.34E-04	3.27E-65	3.63E-04	8.09E-04	1.77E-03	3.65E-03
EXO1_boot.16	2.63E-04	1.06E-03	3.31E-04	1.50E-03	3.17E-04	5.74E-04	9.02E-04	2.08E-03
EXO1_boot.17	6.30E-04	5.56E-04	4.10E-04	1.01E-10	2.48E-04	7.36E-04	1.60E-03	3.30E-03
