Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
MSH2_boot.20	9.66E-02	7.91E-02	9.82E-02	0.00E+00	1.12E-01	1.62E-01	1.08E-01	1.50E-01	1.39E-01
MSH2_boot.21	0.00E+00	3.97E-02	1.34E-01	0.00E+00	1.52E-01	1.60E-01	1.26E-01	1.32E-01	1.46E-01
MSH2_boot.22	0.00E+00	3.98E-02	1.34E-01	0.00E+00	1.54E-01	1.59E-01	1.18E-01	1.33E-01	1.64E-01
MSH2_boot.23	9.94E-02	7.15E-02	1.06E-01	0.00E+00	1.20E-01	1.62E-01	1.15E-01	1.50E-01	1.50E-01
MSH2_boot.24	9.74E-02	8.05E-02	1.03E-01	0.00E+00	1.17E-01	1.87E-01	1.12E-01	1.65E-01	1.49E-01
MSH2_boot.25	0.00E+00	3.91E-02	1.33E-01	0.00E+00	1.51E-01	1.60E-01	1.32E-01	1.31E-01	1.21E-01
MSH2_boot.26	9.87E-02	7.71E-02	1.06E-01	0.00E+00	1.19E-01	1.89E-01	1.06E-01	1.58E-01	1.48E-01
MSH2_boot.27	0.00E+00	4.28E-02	1.32E-01	0.00E+00	1.50E-01	1.53E-01	1.19E-01	1.32E-01	1.41E-01
MSH2_boot.28	0.00E+00	4.21E-02	1.31E-01	0.00E+00	1.50E-01	1.52E-01	1.17E-01	1.31E-01	1.51E-01
MSH2_boot.29	9.79E-02	7.84E-02	1.04E-01	0.00E+00	1.18E-01	1.79E-01	1.09E-01	1.61E-01	1.48E-01
MSH2_boot.30	9.90E-02	7.82E-02	1.04E-01	0.00E+00	1.18E-01	1.52E-01	1.18E-01	1.55E-01	1.45E-01
MSH2_boot.31	9.77E-02	7.80E-02	1.04E-01	0.00E+00	1.18E-01	1.80E-01	1.08E-01	1.59E-01	1.47E-01
MSH2_boot.32	0.00E+00	4.40E-02	1.31E-01	0.00E+00	1.49E-01	1.30E-01	1.16E-01	1.30E-01	1.49E-01
MSH2_boot.33	9.93E-02	7.72E-02	1.06E-01	0.00E+00	1.20E-01	1.36E-01	1.28E-01	1.60E-01	1.49E-01
MSH2_boot.34	9.62E-02	8.03E-02	9.96E-02	0.00E+00	1.14E-01	1.81E-01	1.06E-01	1.57E-01	1.42E-01
MSH2_real	0.00E+00	4.64E-02	1.43E-01	0.00E+00	1.40E-01	1.29E-01	1.19E-01	1.22E-01	1.27E-01
MSH2_real.1	0.00E+00	4.11E-02	1.33E-01	0.00E+00	1.52E-01	1.55E-01	1.24E-01	1.32E-01	1.37E-01
MSH6_boot	0.00E+00	4.00E-02	1.30E-01	0.00E+00	1.46E-01	1.57E-01	1.25E-01	1.27E-01	1.42E-01
MSH6_boot.1	9.39E-02	8.00E-02	9.71E-02	0.00E+00	1.13E-01	1.88E-01	9.04E-02	1.58E-01	1.30E-01
MSH6_boot.2	0.00E+00	3.96E-02	1.30E-01	0.00E+00	1.46E-01	1.60E-01	1.28E-01	1.27E-01	1.41E-01
MSH6_boot.3	8.35E-02	0.00E+00	1.02E-01	0.00E+00	1.15E-01	2.30E-43	2.27E-01	1.08E-01	1.34E-01
MSH6_boot.4	8.45E-02	0.00E+00	9.12E-02	0.00E+00	1.04E-01	0.00E+00	2.22E-01	9.49E-02	1.27E-01
MSH6_boot.5	8.26E-02	0.00E+00	9.15E-02	0.00E+00	1.04E-01	0.00E+00	2.22E-01	9.53E-02	1.26E-01
MSH6_boot.6	8.83E-02	0.00E+00	9.12E-02	0.00E+00	1.03E-01	0.00E+00	2.22E-01	9.41E-02	1.29E-01
MSH6_boot.7	8.53E-02	0.00E+00	9.13E-02	0.00E+00	1.04E-01	0.00E+00	2.21E-01	9.45E-02	1.28E-01
MSH6_boot.8	8.83E-02	0.00E+00	9.01E-02	0.00E+00	1.02E-01	0.00E+00	2.22E-01	9.32E-02	1.28E-01
MSH6_boot.9	8.69E-02	0.00E+00	9.39E-02	0.00E+00	1.06E-01	0.00E+00	2.26E-01	9.72E-02	1.30E-01
MSH6_boot.10	8.96E-02	3.96E-117	8.93E-02	9.77E-66	1.02E-01	1.21E-135	2.21E-01	9.21E-02	1.29E-01
MSH6_boot.11	8.37E-02	0.00E+00	9.41E-02	0.00E+00	1.07E-01	0.00E+00	2.25E-01	9.75E-02	1.28E-01
MSH6_boot.12	9.00E-02	4.47E-156	9.16E-02	1.32E-88	1.04E-01	1.40E-144	2.24E-01	9.44E-02	1.31E-01
MSH6_boot.13	8.36E-02	0.00E+00	9.26E-02	0.00E+00	1.05E-01	0.00E+00	2.22E-01	9.56E-02	1.27E-01
MSH6_boot.14	8.06E-02	0.00E+00	9.30E-02	0.00E+00	1.05E-01	0.00E+00	2.22E-01	9.64E-02	1.25E-01
MSH6_boot.15	8.41E-02	0.00E+00	9.19E-02	0.00E+00	1.04E-01	0.00E+00	2.22E-01	9.51E-02	1.27E-01
MSH6_boot.16	8.23E-02	0.00E+00	9.36E-02	0.00E+00	1.06E-01	0.00E+00	2.24E-01	9.73E-02	1.27E-01
MSH6_boot.17	8.09E-02	0.00E+00	9.57E-02	0.00E+00	1.08E-01	0.00E+00	2.27E-01	1.00E-01	1.26E-01
MSH6_boot.18	8.42E-02	0.00E+00	9.45E-02	0.00E+00	1.07E-01	0.00E+00	2.24E-01	9.76E-02	1.29E-01
MSH6_boot.19	8.29E-02	3.23E-160	9.24E-02	0.00E+00	1.05E-01	0.00E+00	2.15E-01	9.69E-02	1.28E-01
MSH6_boot.20	8.90E-02	0.00E+00	8.79E-02	3.97E-30	1.00E-01	1.62E-147	2.19E-01	9.10E-02	1.28E-01
MSH6_boot.21	8.60E-02	0.00E+00	9.06E-02	0.00E+00	1.03E-01	0.00E+00	2.21E-01	9.37E-02	1.28E-01
MSH6_boot.22	8.42E-02	0.00E+00	9.37E-02	0.00E+00	1.06E-01	0.00E+00	2.24E-01	9.68E-02	1.28E-01
MSH6_boot.23	8.69E-02	0.00E+00	8.68E-02	0.00E+00	9.90E-02	0.00E+00	2.17E-01	8.95E-02	1.26E-01
MSH6_boot.24	7.99E-02	0.00E+00	9.66E-02	0.00E+00	1.09E-01	0.00E+00	2.20E-01	1.02E-01	1.28E-01
MSH6_boot.25	8.66E-02	9.92E-84	8.67E-02	1.28E-140	9.88E-02	0.00E+00	2.17E-01	9.00E-02	1.26E-01
MSH6_boot.26	8.25E-02	0.00E+00	9.55E-02	0.00E+00	1.08E-01	0.00E+00	2.19E-01	1.00E-01	1.29E-01
MSH6_boot.27	8.36E-02	0.00E+00	9.09E-02	0.00E+00	1.03E-01	0.00E+00	2.13E-01	9.50E-02	1.27E-01
MSH6_boot.28	8.58E-02	0.00E+00	9.28E-02	0.00E+00	1.05E-01	0.00E+00	2.23E-01	9.57E-02	1.29E-01
MSH6_boot.29	7.73E-02	7.35E-11	8.71E-02	0.00E+00	9.86E-02	0.00E+00	2.15E-01	9.14E-02	1.19E-01
MSH6_boot.30	8.31E-02	1.94E-113	8.77E-02	0.00E+00	9.98E-02	0.00E+00	2.11E-01	9.21E-02	1.26E-01
MSH6_boot.31	7.79E-02	0.00E+00	9.05E-02	0.00E+00	1.02E-01	0.00E+00	2.12E-01	9.59E-02	1.23E-01
MSH6_boot.32	8.00E-02	7.70E-138	9.08E-02	0.00E+00	1.03E-01	0.00E+00	2.20E-01	9.48E-02	1.24E-01
MSH6_boot.33	7.78E-02	8.49E-128	9.32E-02	0.00E+00	1.05E-01	0.00E+00	2.16E-01	9.90E-02	1.23E-01
MSH6_boot.34	7.99E-02	6.75E-105	9.25E-02	0.00E+00	1.05E-01	0.00E+00	2.23E-01	9.69E-02	1.24E-01
MSH6_boot.35	8.28E-02	0.00E+00	9.94E-02	0.00E+00	1.12E-01	2.83E-57	2.22E-01	1.05E-01	1.31E-01
MSH6_boot.36	8.01E-02	5.91E-03	8.72E-02	0.00E+00	9.88E-02	0.00E+00	2.13E-01	9.13E-02	1.22E-01
MSH6_boot.37	7.97E-02	0.00E+00	8.92E-02	0.00E+00	1.01E-01	0.00E+00	2.18E-01	9.32E-02	1.22E-01
MSH6_boot.38	8.28E-02	6.63E-87	8.93E-02	0.00E+00	1.01E-01	0.00E+00	2.13E-01	9.41E-02	1.26E-01
MSH6_boot.39	8.36E-02	0.00E+00	9.18E-02	0.00E+00	1.04E-01	0.00E+00	2.22E-01	9.53E-02	1.27E-01
MSH6_boot.40	8.42E-02	0.00E+00	9.01E-02	0.00E+00	1.02E-01	0.00E+00	2.13E-01	9.39E-02	1.27E-01
MSH6_boot.41	8.15E-02	0.00E+00	8.80E-02	0.00E+00	1.00E-01	0.00E+00	2.18E-01	9.20E-02	1.24E-01
MSH6_boot.42	8.70E-02	4.35E-03	8.58E-02	1.80E-02	9.84E-02	0.00E+00	2.01E-01	9.11E-02	1.27E-01
MSH6_boot.43	8.04E-02	9.80E-63	9.27E-02	0.00E+00	1.05E-01	2.26E-159	2.16E-01	9.80E-02	1.26E-01
MSH6_boot.44	8.28E-02	5.44E-69	8.98E-02	2.05E-90	1.02E-01	4.40E-97	2.12E-01	9.48E-02	1.27E-01
MSH6_boot.45	7.98E-02	5.06E-03	8.92E-02	0.00E+00	1.01E-01	0.00E+00	2.16E-01	9.32E-02	1.22E-01
MSH6_boot.46	8.66E-02	1.23E-03	8.64E-02	1.62E-02	9.79E-02	0.00E+00	2.00E-01	9.01E-02	1.26E-01
