Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
BRCA_TCGA-BH-A0BC	2	13	1	0	13	16
BRCA_TCGA-BH-A0BF	0	7	3	3	12	8
BRCA_TCGA-BH-A0BG	0	5	5	1	23	11
BRCA_TCGA-BH-A0BJ	2	2	2	1	9	1
BRCA_TCGA-BH-A0BL	8	10	0	0	47	4
BRCA_TCGA-BH-A0BM	1	1	3	0	10	4
BRCA_TCGA-BH-A0BO	1	6	2	12	5	5
BRCA_TCGA-BH-A0BP	15	29	15	0	68	69
BRCA_TCGA-BH-A0BQ	3	8	4	1	10	4
BRCA_TCGA-BH-A0BS	0	3	2	2	14	2
BRCA_TCGA-BH-A0BT	4	14	1	7	12	10
BRCA_TCGA-BH-A0BV	0	3	3	1	10	7
BRCA_TCGA-BH-A0BW	0	9	12	15	46	21
BRCA_TCGA-BH-A0BZ	17	8	27	26	161	57
BRCA_TCGA-BH-A0C0	1	4	16	4	15	8
BRCA_TCGA-BH-A0C1	0	15	10	6	9	10
BRCA_TCGA-BH-A0C3	1	2	0	5	10	0
BRCA_TCGA-BH-A0C7	1	16	8	3	24	6
BRCA_TCGA-BH-A0DD	1	18	0	4	5	9
BRCA_TCGA-BH-A0DE	2	1	4	2	20	4
BRCA_TCGA-BH-A0DG	9	1	6	6	9	16
BRCA_TCGA-BH-A0DH	1	15	4	4	9	19
BRCA_TCGA-BH-A0DI	0	13	1	0	19	29
BRCA_TCGA-BH-A0DK	5	6	0	6	27	9
BRCA_TCGA-BH-A0DL	1	18	1	9	15	21
BRCA_TCGA-BH-A0DO	3	7	3	3	4	10
BRCA_TCGA-BH-A0DP	1	1	1	1	9	6
BRCA_TCGA-BH-A0DQ	0	9	5	7	11	3
BRCA_TCGA-BH-A0DT	0	4	2	0	5	4
BRCA_TCGA-BH-A0DV	0	0	1	3	7	4
BRCA_TCGA-BH-A0DX	1	10	0	0	13	53
BRCA_TCGA-BH-A0DZ	7	3	0	0	0	207
BRCA_TCGA-BH-A0E0	1	8	1	0	11	3
BRCA_TCGA-BH-A0E1	2	6	0	0	3	8
BRCA_TCGA-BH-A0E9	0	12	6	0	8	2
BRCA_TCGA-BH-A0EA	2	8	4	6	6	6
BRCA_TCGA-BH-A0EI	0	7	2	4	9	2
BRCA_TCGA-BH-A0H3	0	3	0	0	12	2
BRCA_TCGA-BH-A0H5	17	1	0	0	0	151
BRCA_TCGA-BH-A0H7	2	4	1	3	1	6
BRCA_TCGA-BH-A0H9	1	1	0	2	15	4
BRCA_TCGA-BH-A0HA	0	124	26	175	15	42
BRCA_TCGA-BH-A0HI	5	7	0	3	11	9
BRCA_TCGA-BH-A0HK	2	11	4	0	6	40
BRCA_TCGA-BH-A0HN	3	11	0	0	12	8
BRCA_TCGA-BH-A0HP	12	6	4	0	0	335
BRCA_TCGA-BH-A0RX	4	23	0	4	11	7
BRCA_TCGA-BH-A0W3	0	2	2	1	13	5
BRCA_TCGA-BH-A0W4	6	6	0	4	11	12
BRCA_TCGA-BH-A0W5	3	11	1	4	9	1
BRCA_TCGA-BH-A0W7	0	2	0	7	0	252
BRCA_TCGA-BH-A0WA	1	2	19	8	54	29
BRCA_TCGA-BH-A18F	9	10	5	0	17	26
BRCA_TCGA-BH-A18G	8	480	396	784	0	0
BRCA_TCGA-BH-A18H	0	3	6	12	18	15
BRCA_TCGA-BH-A18I	3	15	0	0	4	9
BRCA_TCGA-BH-A18J	0	6	5	9	0	91
BRCA_TCGA-BH-A18K	3	4	1	8	20	32
BRCA_TCGA-BH-A18L	4	22	10	3	20	6
BRCA_TCGA-BH-A18M	0	6	1	2	4	5
BRCA_TCGA-BH-A18N	0	17	0	11	14	1
BRCA_TCGA-BH-A18P	7	19	9	2	0	401
BRCA_TCGA-BH-A18Q	1	0	16	3	72	15
BRCA_TCGA-BH-A18R	3	1	1	5	21	11
BRCA_TCGA-BH-A18S	5	3	4	10	11	4
BRCA_TCGA-BH-A18T	1	4	20	7	45	25
BRCA_TCGA-BH-A18U	0	20	18	8	35	97
BRCA_TCGA-BH-A18V	9	0	3	10	99	129
BRCA_TCGA-BH-A1EO	0	24	0	0	17	9
BRCA_TCGA-BH-A1ET	5	7	2	8	10	1
BRCA_TCGA-BH-A1EU	0	5	0	8	17	4
BRCA_TCGA-BH-A1EV	9	20	0	10	9	81
BRCA_TCGA-BH-A1EW	2	2	2	4	5	6
BRCA_TCGA-BH-A1EX	6	9	0	6	12	2
BRCA_TCGA-BH-A1EY	4	10	0	10	11	20
BRCA_TCGA-BH-A1F0	7	6	6	2	47	27
BRCA_TCGA-BH-A1F2	3	19	5	3	19	22
BRCA_TCGA-BH-A1F5	4	8	4	0	21	7
BRCA_TCGA-BH-A1F6	0	13	2	6	23	9
BRCA_TCGA-BH-A1F8	7	11	7	4	15	148
BRCA_TCGA-BH-A1FC	5	21	5	9	44	46
BRCA_TCGA-BH-A1FE	4	3	2	0	10	7
BRCA_TCGA-BH-A1FG	1	7	8	0	3	2
BRCA_TCGA-BH-A1FH	0	9	1	0	16	7
BRCA_TCGA-BH-A1FJ	0	11	5	0	24	5
BRCA_TCGA-BH-A1FL	2	7	1	3	9	4
