Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
EXO1_0_multinomial_train1.92	1.02E-01	3.73E-02	3.91E-02	1.02E-02	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.93	9.78E-02	3.03E-02	3.23E-02	7.68E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.94	1.00E-01	3.38E-02	3.38E-02	8.72E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.95	1.00E-01	3.38E-02	3.60E-02	8.19E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.96	1.02E-01	3.58E-02	4.16E-02	8.09E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.97	1.00E-01	3.28E-02	3.32E-02	9.92E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.98	9.98E-02	3.46E-02	3.42E-02	1.03E-02	1.53E-26	1.53E-26
OGG1_0_multinomial_train1	1.53E-02	2.24E-02	2.38E-03	1.95E-02	4.18E-02	1.69E-02
OGG1_0_multinomial_train1.1	2.02E-02	5.91E-03	6.30E-03	1.59E-02	3.56E-02	8.95E-03
OGG1_0_multinomial_train1.2	1.63E-02	1.59E-02	8.10E-03	1.82E-02	4.00E-02	1.06E-02
OGG1_0_multinomial_train1.3	1.35E-02	6.09E-34	3.43E-03	1.66E-02	3.39E-02	1.54E-03
OGG1_0_multinomial_train1.4	1.48E-02	1.02E-108	3.49E-03	1.56E-02	3.07E-02	5.45E-47
OGG1_0_multinomial_train1.5	2.03E-02	1.41E-02	7.83E-03	1.80E-02	4.00E-02	1.17E-02
OGG1_0_multinomial_train1.6	1.45E-02	2.31E-02	2.59E-03	1.89E-02	4.08E-02	1.51E-02
OGG1_0_multinomial_train1.7	1.72E-02	3.14E-04	7.17E-03	1.68E-02	3.48E-02	2.27E-03
OGG1_0_multinomial_train1.8	1.42E-02	2.22E-64	6.60E-03	1.50E-02	3.07E-02	1.54E-128
OGG1_0_multinomial_train1.9	1.49E-02	1.65E-107	5.47E-03	1.55E-02	3.08E-02	1.95E-46
OGG1_0_multinomial_train1.10	1.88E-02	2.96E-31	9.02E-03	1.62E-02	3.41E-02	7.20E-03
OGG1_0_multinomial_train1.11	1.70E-02	5.96E-52	8.38E-03	1.57E-02	3.23E-02	1.60E-58
OGG1_0_multinomial_train1.12	2.06E-02	9.83E-03	6.42E-03	1.72E-02	3.80E-02	1.15E-02
OGG1_0_multinomial_train1.13	1.70E-02	5.84E-26	3.11E-03	1.72E-02	3.63E-02	1.13E-02
OGG1_0_multinomial_train1.14	1.59E-02	1.57E-02	0.00E+00	1.79E-02	3.98E-02	1.35E-02
OGG1_0_multinomial_train1.15	1.97E-02	7.67E-30	7.16E-03	1.75E-02	3.58E-02	5.81E-03
OGG1_0_multinomial_train1.16	1.77E-02	5.38E-66	9.17E-03	1.67E-02	3.45E-02	1.81E-03
OGG1_0_multinomial_train1.17	1.92E-02	9.55E-32	6.72E-03	1.74E-02	3.67E-02	1.31E-02
OGG1_0_multinomial_train1.18	1.62E-02	1.09E-13	4.08E-03	1.82E-02	3.69E-02	8.30E-03
