	0	1	2	3	4	5	6	7	8	9
21000	[2.53650554357636, 2.367678146333099, 1.688273972432606, 1.0, 0.0]	[2.5355636114027353, 2.366249317406878, 1.6931429399585731, 1.0, 0.0]			[2.6001157698118593, 2.3288447470645983, 2.712710227472612, 1.0, 0.0]		[2.5366104439535624, 2.36801243898678, 1.685980049667824, 1.0, 0.0]	[2.5365884102706846, 2.367840521605712, 1.6874788866497261, 1.0, 0.0]	[2.5375901576394355, 2.366641152307254, 1.7094900533218167, 1.0, 0.0]	
22000	[2.5365201908242407, 2.367684959159679, 1.6883523166456196, 1.0, 0.0]	[2.535619411673613, 2.3662689629536913, 1.6935044871992193, 1.0, 0.0]			[2.6001013614823143, 2.3288048769303233, 2.712964845519909, 1.0, 0.0]		[2.5365782416870433, 2.367991158642176, 1.6858708304486736, 1.0, 0.0]	[2.5365766257196958, 2.367808541207445, 1.6876808451225043, 1.0, 0.0]	[2.5375837629005247, 2.3666305279956834, 1.7095323490484147, 1.0, 0.0]	
23000	[2.5365617436398953, 2.367693378084729, 1.6886836555516644, 1.0, 0.0]	[2.535542185679839, 2.3660944839817084, 1.6944770169813077, 1.0, 0.0]			[2.600089941668565, 2.3287830572773394, 2.713068843912258, 1.0, 0.0]		[2.536570989317481, 2.367962024067414, 1.6860896525006699, 1.0, 0.0]	[2.5365675568788646, 2.3677885856505916, 1.6877897122827292, 1.0, 0.0]	[2.5376141856676933, 2.366636710807876, 1.709774748598175, 1.0, 0.0]	
24000	[2.536575830460123, 2.3676977526342182, 1.6887807782590463, 1.0, 0.0]	[2.535383083177174, 2.3660670033896976, 1.6931607978747643, 1.0, 0.0]			[2.60006423450862, 2.3287759896421147, 2.712882448665049, 1.0, 0.0]		[2.5366236679916248, 2.367926815037329, 1.6869685295429577, 1.0, 0.0]	[2.5365773316754017, 2.367781548489032, 1.687957831863698, 1.0, 0.0]	[2.537602570473077, 2.3666188345520585, 1.709837359210186, 1.0, 0.0]	
25000	[2.5365859154252197, 2.3676949974182224, 1.6889091800699745, 1.0, 0.0]	[2.535554955134322, 2.3661515576711394, 1.694033974631826, 1.0, 0.0]			[2.6000510542001485, 2.328773461233319, 2.712775929668294, 1.0, 0.0]		[2.536606250344361, 2.367906816491441, 1.6869943385291992, 1.0, 0.0]	[2.5365775699315853, 2.3677754900139716, 1.688020799176137, 1.0, 0.0]	[2.5376245811778646, 2.3666254336737147, 1.7099914750415, 1.0, 0.0]	
26000	[2.5365994444320936, 2.3676973601607054, 1.689020842713882, 1.0, 0.0]	[2.5353713239113107, 2.3659826886988866, 1.6938863521242427, 1.0, 0.0]			[2.600068001651331, 2.328770191853474, 2.7129780979785667, 1.0, 0.0]		[2.53660209171521, 2.3678850745758817, 1.6871701713932823, 1.0, 0.0]	[2.536590255658381, 2.3677633170398518, 1.6882693861852949, 1.0, 0.0]	[2.537651552753211, 2.36662667166827, 1.7102488108494094, 1.0, 0.0]	
27000	[2.536602815569989, 2.367689824637836, 1.689129909321531, 1.0, 0.0]	[2.5352702526746342, 2.3659389862292923, 1.6933126644534195, 1.0, 0.0]			[2.6000687187108125, 2.3287575741715396, 2.7131114453927294, 1.0, 0.0]		[2.5365925004468415, 2.3678696080651953, 1.6872289238164624, 1.0, 0.0]	[2.5365936837659255, 2.367752540156508, 1.6884114360941784, 1.0, 0.0]	[2.53766072579597, 2.366622666778168, 1.7103805901780207, 1.0, 0.0]	
28000	[2.536594263590561, 2.3676802140292557, 1.6891404956130547, 1.0, 0.0]	[2.5352319192951938, 2.365915235031831, 1.6931668426336248, 1.0, 0.0]			[2.6001776078195373, 2.3287308242687814, 2.714467835507559, 1.0, 0.0]		[2.5365983603906375, 2.36785595900723, 1.6874240138340724, 1.0, 0.0]	[2.5365901497216443, 2.3677450525810575, 1.6884509714058664, 1.0, 0.0]	[2.5376458938855286, 2.366615548387043, 1.7103034549848595, 1.0, 0.0]	
29000	[2.536593837638027, 2.3676718159237944, 1.689220217142324, 1.0, 0.0]	[2.53519906491242, 2.3660084494274423, 1.6919061548497738, 1.0, 0.0]			[2.6001745213336114, 2.3287235841003247, 2.7145093723328655, 1.0, 0.0]		[2.53666098607283, 2.3678439795884563, 1.6881700648437357, 1.0, 0.0]	[2.5365967005612267, 2.3677381037201104, 1.6885859684111613, 1.0, 0.0]	[2.537654908231863, 2.3666135717276404, 1.7104133650422269, 1.0, 0.0]	
30000	[2.536604627018245, 2.3676794516898165, 1.6892517532842821, 1.0, 0.0]	[2.5351901726855592, 2.366030077542911, 1.6916009514264807, 1.0, 0.0]			[2.600164323436235, 2.328719559302861, 2.714447641333742, 1.0, 0.0]		[2.536641468914188, 2.367822288629519, 1.6881918028466898, 1.0, 0.0]	[2.5366172517610805, 2.367728850977654, 1.6888840078342644, 1.0, 0.0]	[2.537677660999232, 2.3666129352808642, 1.7106472571836808, 1.0, 0.0]	
